topic,model,condition,condition_label,word_count,relevance,reason,error_records,minor,major,erroneous_units,assessed_units,uncertain_units,skipped_units,error_details,report
isotope,gemini-3.8-flash,English prompt / English response,English prompt / English response,546,on_topic,"The entire response directly addresses the requested topic of isotopes, explaining their atomic basis, providing analogies, concrete examples (carbon isotopes), real-world applications, and an exam summary.",0,0,0,0,8,0,0,[],ch-1_isotope/english/evaluation/gemini-3.8-flash__daa4bcdecdd6/results.md
isotope,gpt-5.6-terra,English prompt / English response,English prompt / English response,145,on_topic,"The explanation directly addresses the requested topic of isotopes, covering their definition, an illustrative example with carbon isotopes, and their classification into stable and radioactive types.",0,0,0,0,3,0,0,[],ch-1_isotope/english/evaluation/gpt-5.6-terra__151e5ec4ca87/results.md
isotope,grok-4.3,English prompt / English response,English prompt / English response,252,on_topic,"The response directly addresses the requested topic by explaining the structure of atoms, the definition of isotopes, providing concrete examples (carbon and hydrogen), and discussing their significance and applications.",0,0,0,0,5,0,0,[],ch-1_isotope/english/evaluation/grok-4.3__67b792c26e6d/results.md
isotope,llama-4-maverick,English prompt / English response,English prompt / English response,433,on_topic,"The response comprehensively explains isotopes, covering their definition, the underlying subatomic structure, specific examples of carbon isotopes, differences in physical and chemical properties, and practical applications.",0,0,0,0,8,0,0,[],ch-1_isotope/english/evaluation/llama-4-maverick__cf3c2221af71/results.md
isotope,llama-4-maverick,English prompt / Bengali response,English prompt / Bengali response,153,on_topic,"The response clearly and accurately explains the concept of isotopes, provides standard examples (hydrogen isotopes), and discusses their applications.",0,0,0,0,3,0,0,[],ch-1_isotope/bengali-english/evaluation/llama-4-maverick__4b101f39322e/results.md
isotope,gpt-5.6-terra,English prompt / Bengali response,English prompt / Bengali response,144,on_topic,"The response accurately and directly explains the concept of isotopes in chemistry, including definition, examples, properties, and applications.",0,0,0,0,7,0,0,[],ch-1_isotope/bengali-english/evaluation/gpt-5.6-terra__bde96ecab03b/results.md
isotope,gemini-3.8-flash,Bengali prompt / Bengali response,Bengali prompt / Bengali response,410,on_topic,"The response directly and thoroughly explains isotopes (সমস্থানিক) in Bengali for a high school student, covering their definition, subatomic basis, hydrogen examples, a memory aid, and practical applications.",0,0,0,0,8,0,0,[],ch-1_isotope/bengali-native/evaluation/gemini-3.8-flash__926e0654a00e/results.md
isotope,claude-sonnet-5,English prompt / Arabic response,English prompt / Arabic response,218,on_topic,"The response directly and thoroughly explains the requested concept of isotopes in Arabic, including their definition, subatomic composition, illustrative examples (hydrogen and carbon isotopes), properties, and a practice question.",0,0,0,0,6,0,0,[],ch-1_isotope/arabic-english/evaluation/claude-sonnet-5__bde180d94e2a/results.md
isotope,claude-sonnet-5,Bengali prompt / Bengali response,Bengali prompt / Bengali response,241,on_topic,"The response accurately and comprehensively explains the concept of isotopes for a high school student in Bengali, including atomic structure prerequisites, the core definition, hydrogen and carbon examples, general properties, and an interactive practice question.",0,0,0,0,7,0,0,[],ch-1_isotope/bengali-native/evaluation/claude-sonnet-5__d06138c866ec/results.md
isotope,gpt-5.6-terra,English prompt / French response,English prompt / French response,222,on_topic,"The response explains what isotopes are, illustrates them using carbon isotopes and standard nuclear notation, and discusses their chemical properties and radioactive decay.",0,0,0,0,4,0,0,[],ch-1_isotope/french-english/evaluation/gpt-5.6-terra__18b7401bcb47/results.md
isotope,gpt-5.6-terra,Bengali prompt / Bengali response,Bengali prompt / Bengali response,258,on_topic,"The entire response directly addresses the requested topic of isotopes in chemistry, covering their definition, atomic composition, examples (carbon and hydrogen), isotopic notation, physical and chemical properties, applications, and a memory tip.",0,0,0,0,10,0,0,[],ch-1_isotope/bengali-native/evaluation/gpt-5.6-terra__ba016c1ab43c/results.md
isotope,grok-4.3,Bengali prompt / Bengali response,Bengali prompt / Bengali response,198,on_topic,"The response accurately and directly explains the concept of isotopes (সমস্থানিক) in Bengali for a high school student, covering their definition, specific examples, physical and chemical properties, real-world applications, and an illustrative analogy.",1,1,0,1,6,0,0,"[{'content_unit_id': 'u3', 'content_unit_label': 'Chlorine isotopes and average atomic mass', 'passage_ids': ['p14'], 'description': ""The passage describes 35.5 as simply the average ('দুটির গড়') of ³⁵Cl and ³⁷Cl. The simple average of 35 and 37 is 36. 35.5 arises from the abundance-weighted average of the two isotopes."", 'correction': 'ক্লোরিনের পারমাণবিক ভর ৩৫.৫ হলো এদের প্রাকৃতিক প্রাচুর্যের ওপর ভিত্তি করে নেওয়া ভরযুক্ত গড় (weighted average), সাধারণ গড় নয়।', 'severity': 'minor'}]",ch-1_isotope/bengali-native/evaluation/grok-4.3__125febf29835/results.md
isotope,claude-sonnet-5,English prompt / French response,English prompt / French response,215,on_topic,"The response directly explains isotopes in French, including their subatomic composition, an analogy, standard notation, real-world examples (carbon), radioactive decay/dating, and a comprehension check.",0,0,0,0,6,0,0,[],ch-1_isotope/french-english/evaluation/claude-sonnet-5__825261af1d2b/results.md
isotope,llama-4-maverick,Bengali prompt / Bengali response,Bengali prompt / Bengali response,201,on_topic,"The response directly explains isotopes in Bengali, covering their definition, structural basis (protons, neutrons, and mass number), and examples such as hydrogen and carbon.",1,1,0,1,5,0,0,"[{'content_unit_id': 'u1', 'content_unit_label': 'Definition and properties of isotopes', 'passage_ids': ['p1'], 'description': ""The passage asserts that because the number of protons is the same, isotopes exhibit great similarity in both their chemical and physical properties ('তাদের রাসায়নিক ও ভৌত ধর্মে অনেক সাদৃশ্য বিদ্যমান'). While isotopes have virtually identical chemical properties due to having identical electron configurations, their physical properties (such as density, mass, boiling point, and melting point) differ due to differences in neutron count and atomic mass."", 'correction': 'Isotopes have nearly identical chemical properties because they have the same atomic number and electron configuration, but their physical properties differ because they have different mass numbers.', 'severity': 'minor'}]",ch-1_isotope/bengali-native/evaluation/llama-4-maverick__a7e6a1daaec4/results.md
isotope,claude-sonnet-5,Arabic prompt / Arabic response,Arabic prompt / Arabic response,242,on_topic,"The entire response directly addresses the requested topic of isotopes, explaining the definition, underlying atomic principles, examples, calculation methods, classifications, practical applications, and chemical/physical properties.",0,0,0,0,11,0,0,[],ch-1_isotope/arabic-native/evaluation/claude-sonnet-5__66d3c9f292d7/results.md
isotope,gemini-3.8-flash,French prompt / French response,French prompt / French response,598,on_topic,"The entire response directly explains the concept of isotopes for a high school audience, covering definition, atomic structure, examples, etymology, and practical applications.",1,1,0,1,9,0,0,"[{'content_unit_id': 'u4', 'content_unit_label': 'Isotopes of carbon (Carbon-12 and Carbon-14)', 'passage_ids': ['p20', 'p22'], 'description': 'The passage states that natural carbon exists mainly under two forms, carbon-12 and carbon-14, omitting carbon-13 and incorrectly implying carbon-14 is one of the primary natural forms.', 'correction': 'Natural carbon consists predominantly of carbon-12 (~98.9%) and carbon-13 (~1.1%). Carbon-14 exists only in minute trace quantities (about 1 part per trillion).', 'severity': 'minor'}]",ch-1_isotope/french-native/evaluation/gemini-3.8-flash__0080f70fcc5d/results.md
isotope,claude-sonnet-5,French prompt / French response,French prompt / French response,281,on_topic,"The entire response directly addresses the requested topic of isotopes, explaining their atomic structure, notation, physical and chemical properties, and practical applications.",0,0,0,0,7,0,0,[],ch-1_isotope/french-native/evaluation/claude-sonnet-5__34a02b664f1b/results.md
isotope,gemini-3.8-flash,English prompt / French response,English prompt / French response,506,on_topic,"The response directly and thoroughly explains isotopes in French, including atomic structure fundamentals, definitions, an analogy, carbon isotopes as concrete illustrations, chemical and physical properties, and real-world applications.",0,0,0,0,9,0,0,[],ch-1_isotope/french-english/evaluation/gemini-3.8-flash__2e59f2487cc8/results.md
isotope,llama-4-maverick,French prompt / French response,French prompt / French response,489,on_topic,"The response directly addresses the requested topic of isotopes, explaining their subatomic definition, contrasting protons and neutrons, presenting carbon isotopes, and outlining practical applications.",1,1,0,1,8,0,0,"[{'content_unit_id': 'u4', 'content_unit_label': 'Carbon isotopes (carbon-12, carbon-13, carbon-14)', 'passage_ids': ['p14', 'p15', 'p16'], 'description': ""The nuclide notation is inverted and placed incorrectly. In standard IUPAC isotopic notation, the mass number A is written as a left superscript and the atomic number Z as a left subscript (e.g., ¹²₆C or ¹²C, ¹³₆C or ¹³C, ¹⁴₆C or ¹⁴C), not '⁶C¹²', '⁶C¹³', and '⁶C¹⁴'."", 'correction': 'Write the isotopes as ¹²C (or ¹²₆C), ¹³C (or ¹³₆C), and ¹⁴C (or ¹⁴₆C).', 'severity': 'minor'}]",ch-1_isotope/french-native/evaluation/llama-4-maverick__3e5e28b1017d/results.md
isotope,claude-sonnet-5,English prompt / Hindi response,English prompt / Hindi response,256,on_topic,"The entire response directly addresses isotopes in Hindi, defining them, providing an everyday sibling analogy, explaining the mass number formula, detailing hydrogen and carbon isotopes as examples, explaining their chemical and physical properties, and giving a mnemonic based on the Hindi term.",0,0,0,0,7,0,0,[],ch-1_isotope/hindi-english/evaluation/claude-sonnet-5__2ec5b353d7ef/results.md
isotope,grok-4.3,English prompt / French response,English prompt / French response,322,on_topic,"The explanation directly and thoroughly covers the requested topic of isotopes, including the atomic structure context, core definition, carbon examples, physical and chemical properties, real-world applications, and a summary.",0,0,0,0,8,0,0,[],ch-1_isotope/french-english/evaluation/grok-4.3__5b387b380b4c/results.md
isotope,gemini-3.8-flash,English prompt / Hindi response,English prompt / Hindi response,511,on_topic,"The response provides a comprehensive, clear, and accurate explanation of isotopes (samsthanik) in Hindi, covering definition, atomic structure, examples, properties, and applications.",0,0,0,0,10,0,0,[],ch-1_isotope/hindi-english/evaluation/gemini-3.8-flash__9cd4caaf77c0/results.md
isotope,grok-4.3,French prompt / French response,French prompt / French response,287,on_topic,"The response directly and thoroughly explains what isotopes are, how atomic number and neutron count determine them, illustrates with standard examples (carbon and hydrogen), shows notation, and summarizes their key properties.",0,0,0,0,5,0,0,[],ch-1_isotope/french-native/evaluation/grok-4.3__1134b69d729f/results.md
isotope,gpt-5.6-terra,English prompt / Hindi response,English prompt / Hindi response,214,on_topic,"The entire response directly addresses the requested topic of isotopes, covering their definition, subatomic basis, examples, key properties, and practical applications.",0,0,0,0,8,0,0,[],ch-1_isotope/hindi-english/evaluation/gpt-5.6-terra__ac01c0cb3345/results.md
isotope,claude-sonnet-5,English prompt / Tamil response,English prompt / Tamil response,203,on_topic,"The response accurately and directly explains isotopes in Tamil, covering their definition, key characteristics, examples (hydrogen and carbon), applications, and a summary/etymology.",0,0,0,0,6,0,0,[],ch-1_isotope/tamil-english/evaluation/claude-sonnet-5__ee463dce8da9/results.md
isotope,gemini-3.8-flash,English prompt / Tamil response,English prompt / Tamil response,332,on_topic,"The explanation covers the concept of isotopes comprehensively in Tamil, including fundamental atomic structure, the formal definition of isotopes, an illustrative analogy, textbook examples (hydrogen and carbon), physical and chemical properties, practical applications, and a summary.",0,0,0,0,8,0,0,[],ch-1_isotope/tamil-english/evaluation/gemini-3.8-flash__86e368beb3d7/results.md
isotope,gpt-5.6-terra,English prompt / Tamil response,English prompt / Tamil response,271,on_topic,"The response directly and thoroughly explains the requested concept of isotopes in Tamil, covering definition, subatomic composition, notation, examples, properties, and applications.",0,0,0,0,12,0,0,[],ch-1_isotope/tamil-english/evaluation/gpt-5.6-terra__e828bdcb8870/results.md
isotope,grok-4.3,English prompt / Tamil response,English prompt / Tamil response,169,on_topic,"The response clearly and accurately explains the concept of isotopes in Tamil as requested, including definitions, examples, properties, and applications.",0,0,0,0,8,0,0,[],ch-1_isotope/tamil-english/evaluation/grok-4.3__135007903eb8/results.md
isotope,llama-4-maverick,English prompt / Tamil response,English prompt / Tamil response,142,on_topic,"The response clearly defines isotopes, explains differences in proton and neutron counts, provides multiple examples, and outlines applications in medicine, nuclear energy, isotope separation, and fossil dating.",0,0,0,0,8,0,0,[],ch-1_isotope/tamil-english/evaluation/llama-4-maverick__3cec6dc0e943/results.md
isotope,claude-sonnet-5,Tamil prompt / Tamil response,Tamil prompt / Tamil response,192,off_topic,"The prompt asked to explain 'ஓரிடத்தான்' (the Tamil scientific term for chemical isotopes). The response completely misinterprets the term as an alleged concept in Tamil grammar and phonetics (letters produced at the same place of articulation), discussing phonetic articulation, Tolkappiyam, and sandhi rules instead of atomic chemistry.",0,0,0,0,0,0,6,[],ch-1_isotope/tamil-native/evaluation/claude-sonnet-5__7ed76b1875f8/results.md
isotope,gemini-3.8-flash,Tamil prompt / Tamil response,Tamil prompt / Tamil response,362,on_topic,"The explanation directly addresses isotopes in Tamil ('ஓரிடத்தான்'), providing definitions, subatomic composition, etymology, concrete examples, and practical applications.",1,1,0,1,10,0,0,"[{'content_unit_id': 'u6', 'content_unit_label': 'Application of Carbon-14 in dating', 'passage_ids': ['p34'], 'description': ""Carbon-14 dating is stated to be used for dating dinosaur fossils ('டைனோசர் படிமங்கள்'). Radiocarbon dating is only viable for organic specimens up to roughly 50,000–60,000 years old. Non-avian dinosaur fossils are at least 66 million years old and cannot be dated with Carbon-14."", 'correction': 'Carbon-14 dating applies to remains from the past several tens of thousands of years (such as ancient wood, charcoal, and early human remains); dinosaur fossils are dated via other radiometric methods like potassium-argon or uranium-lead dating of igneous layers.', 'severity': 'minor'}]",ch-1_isotope/tamil-native/evaluation/gemini-3.8-flash__8740e93966a5/results.md
isotope,claude-sonnet-5,Hindi prompt / Hindi response,Hindi prompt / Hindi response,263,on_topic,"The entire response directly and accurately explains isotopes in Hindi for a high school level, covering definitions, atomic structure, examples (hydrogen and carbon), etymology/mnemonic, applications, and properties.",0,0,0,0,10,0,0,[],ch-1_isotope/hindi-native/evaluation/claude-sonnet-5__24f733633bcb/results.md
isotope,gpt-5.6-terra,Tamil prompt / Tamil response,Tamil prompt / Tamil response,111,off_topic,"The prompt asked to explain isotopes ('ஓரிடத்தான்' in Tamil chemistry terminology), but the response interpreted the term literally as 'endemic species' in ecology and biology, discussing flora and fauna restricted to specific geographical regions.",0,0,0,0,0,0,7,[],ch-1_isotope/tamil-native/evaluation/gpt-5.6-terra__f589a5159205/results.md
isotope,llama-4-maverick,English prompt / Hindi response,English prompt / Hindi response,303,on_topic,"The explanation directly addresses the requested topic of isotopes in Hindi, covering definition, atomic/nuclear composition, a carbon isotope example, properties, and practical applications.",0,0,0,0,5,0,0,[],ch-1_isotope/hindi-english/evaluation/llama-4-maverick__15939d15aa93/results.md
isotope,grok-4.3,Tamil prompt / Tamil response,Tamil prompt / Tamil response,198,off_topic,"The requested topic was 'isotope' in Chemistry (commonly translated in Tamil scientific contexts as ஓரிடத்தான்). The response completely misinterprets the term as an ecological concept for endemic organisms restricted to a single geographical habitat, providing biological examples such as the Nilgiri Tahr and Lion-tailed Macaque.",0,0,0,0,0,0,7,[],ch-1_isotope/tamil-native/evaluation/grok-4.3__c07c3319e472/results.md
isotope,llama-4-maverick,Tamil prompt / Tamil response,Tamil prompt / Tamil response,157,off_topic,"The prompt asked for an explanation of 'isotope' in Chemistry (in Tamil, ஓரிடத்தான்). The response completely misunderstood the term, interpreting 'ஓரிடத்தான்' as a fabricated Tamil grammatical or semantic concept referring to words that denote only one entity, with no reference to chemistry, atoms, or isotopes.",0,0,0,0,0,0,7,[],ch-1_isotope/tamil-native/evaluation/llama-4-maverick__031a4c706f38/results.md
isotope,gpt-5.6-terra,French prompt / French response,French prompt / French response,348,on_topic,"The explanation directly covers the requested topic of isotopes in French for a high school student, explaining their subatomic definition, examples, properties, and applications.",0,0,0,0,7,0,0,[],ch-1_isotope/french-native/evaluation/gpt-5.6-terra__c5e8f9a3704d/results.md
isotope,grok-4.3,Hindi prompt / Hindi response,Hindi prompt / Hindi response,363,on_topic,"The response directly and accurately explains isotopes to a high school student in Hindi, covering definition, atomic structure, hydrogen/carbon examples, properties, and a memory aid.",0,0,0,0,7,0,0,[],ch-1_isotope/hindi-native/evaluation/grok-4.3__cb64d67a40e1/results.md
isotope,llama-4-maverick,English prompt / French response,English prompt / French response,358,on_topic,"The text directly and comprehensively explains the concept of isotopes, including their definition, an illustrative example with carbon, their chemical and physical properties, practical applications, and a summary.",0,0,0,0,7,0,0,[],ch-1_isotope/french-english/evaluation/llama-4-maverick__9eb64c8cec63/results.md
isotope,grok-4.3,English prompt / Hindi response,English prompt / Hindi response,222,on_topic,"The response directly and thoroughly explains isotopes in Hindi, covering the definition, relationships between atomic and mass numbers, examples (hydrogen and carbon), chemical and physical properties, and notation.",0,0,0,0,5,0,0,[],ch-1_isotope/hindi-english/evaluation/grok-4.3__48bcc2949e77/results.md
isotope,gpt-5.6-terra,Hindi prompt / Hindi response,Hindi prompt / Hindi response,238,on_topic,"The response directly and comprehensively explains the concept of isotopes, including definition, underlying atomic concepts, concrete examples, properties, and applications.",0,0,0,0,10,0,0,[],ch-1_isotope/hindi-native/evaluation/gpt-5.6-terra__41c4eb5c4b6d/results.md
isotope,llama-4-maverick,Hindi prompt / Hindi response,Hindi prompt / Hindi response,326,on_topic,"The response accurately and directly explains isotopes (समस्थानिक) in Hindi for a high school student, covering prerequisite atomic structure, definition, carbon isotope examples, chemical and physical properties, and practical applications.",0,0,0,0,7,0,0,[],ch-1_isotope/hindi-native/evaluation/llama-4-maverick__9968eff46619/results.md
isotope,gemini-3.8-flash,Hindi prompt / Hindi response,Hindi prompt / Hindi response,585,on_topic,"The response directly and thoroughly explains isotopes for a high school chemistry student, including foundational atomic concepts, definition, an illustrative analogy, examples (hydrogen and carbon), physical/chemical properties, and technological applications.",0,0,0,0,11,0,0,[],ch-1_isotope/hindi-native/evaluation/gemini-3.8-flash__7f0aa08ad287/results.md
stoichiometry,gemini-3.8-flash,Arabic prompt / Arabic response,Arabic prompt / Arabic response,545,on_topic,"The response clearly explains stoichiometry for a high school student, covering the fundamental concept of mole ratios via everyday analogies, foundational tools (balanced equations, mole, molar mass), the standard mass-to-mass procedure, and a complete worked example.",0,0,0,0,5,0,0,[],ch-2_stoichiometry/arabic-native/evaluation/gemini-3.8-flash__11f818a531af/results.md
stoichiometry,grok-4.3,English prompt / Arabic response,English prompt / Arabic response,403,on_topic,"The entire response directly explains stoichiometry, fundamental laws, mole ratios, worked calculations, and limiting reactants suitable for high school chemistry.",0,0,0,0,8,0,0,[],ch-2_stoichiometry/arabic-english/evaluation/grok-4.3__cf931baabdc0/results.md
stoichiometry,claude-sonnet-5,English prompt / Arabic response,English prompt / Arabic response,371,on_topic,"The response explains stoichiometry in Arabic, covering its definition, a cooking recipe analogy, the essential steps (equation balancing, mole coefficients, mole ratios), a mole-to-mole worked example, a mass-to-mass conversion roadmap, a mass-to-mass worked example, practical study tips, and a final summary.",0,0,0,0,8,0,0,[],ch-2_stoichiometry/arabic-english/evaluation/claude-sonnet-5__38c8a5405ec3/results.md
stoichiometry,claude-sonnet-5,Arabic prompt / Arabic response,Arabic prompt / Arabic response,257,on_topic,"The response directly explains stoichiometry (الحسابات الكيميائية), covering its definition, basic mole concepts and conversion formulas, systematic steps for solving stoichiometry problems, a fully worked example, and useful study tips.",0,0,0,0,5,0,0,[],ch-2_stoichiometry/arabic-native/evaluation/claude-sonnet-5__b6bfd983527c/results.md
stoichiometry,gemini-3.8-flash,English prompt / Arabic response,English prompt / Arabic response,463,on_topic,"The explanation directly addresses stoichiometry in Arabic, explaining the core concept through an everyday recipe analogy, defining it quantitatively with chemical equations, introducing the mole bridge, outlining the standard mass calculation procedure, working through a mole-to-mole calculation, and summarizing the concept through the law of conservation of mass.",0,0,0,0,6,0,0,[],ch-2_stoichiometry/arabic-english/evaluation/gemini-3.8-flash__68a52868f408/results.md
stoichiometry,llama-4-maverick,English prompt / Arabic response,English prompt / Arabic response,505,on_topic,"The response provides the definition of stoichiometry, explains the law of conservation of mass in chemical reactions, and gives step-by-step procedures and worked examples for balancing chemical equations.",1,0,1,1,5,0,0,"[{'content_unit_id': 'u2', 'content_unit_label': 'Balancing the formation reaction of water', 'passage_ids': ['p7'], 'description': 'The passage states that oxygen atom counts are equal on both sides while hydrogen atom counts are different in the reaction H2 + O2 = H2O, reversing the true atom counts.', 'correction': 'عدد ذرات الهيدروجين على طرفي المعادلة متساوي (ذرتان في كل طرف)، ولكن عدد ذرات الأكسجين مختلف (ذرتان في المتفاعلات وذرة واحدة في النواتج).', 'severity': 'major'}]",ch-2_stoichiometry/arabic-english/evaluation/llama-4-maverick__b8bda956cefe/results.md
stoichiometry,llama-4-maverick,Arabic prompt / Arabic response,Arabic prompt / Arabic response,324,on_topic,"The response directly and accurately explains stoichiometry for a high school level, covering its definition, key concepts (mole, molar mass, mole ratio), procedural steps, a worked example, and a concluding recap.",0,0,0,0,5,0,0,[],ch-2_stoichiometry/arabic-native/evaluation/llama-4-maverick__9a86abc7eec1/results.md
stoichiometry,claude-sonnet-5,English prompt / Bengali response,English prompt / Bengali response,352,on_topic,"The response provides a comprehensive and accurate explanation of stoichiometry in Bengali, covering its definition, balanced chemical equations, mole ratios, a worked example, related concepts such as limiting reagents and percent yield, a problem-solving strategy, and a practice question.",0,0,0,0,7,0,0,[],ch-2_stoichiometry/bengali-english/evaluation/claude-sonnet-5__dd92481b9fa9/results.md
stoichiometry,gpt-5.6-terra,English prompt / Arabic response,English prompt / Arabic response,718,on_topic,"The entire response is dedicated to explaining stoichiometry in Arabic, covering chemical balancing, the mole concept, molar mass, calculation procedures, worked examples, mole ratios, limiting reactants, and reaction yields.",0,0,0,0,17,0,0,[],ch-2_stoichiometry/arabic-english/evaluation/gpt-5.6-terra__c84713758c16/results.md
stoichiometry,llama-4-maverick,English prompt / Bengali response,English prompt / Bengali response,277,on_topic,The response defines stoichiometry and illustrates stoichiometric calculations using mole ratios with two worked examples.,0,0,0,0,3,0,0,[],ch-2_stoichiometry/bengali-english/evaluation/llama-4-maverick__3d3a45597f92/results.md
stoichiometry,grok-4.3,Arabic prompt / Arabic response,Arabic prompt / Arabic response,403,on_topic,"The response comprehensively explains chemical stoichiometry for secondary school students, covering the mole concept, molar mass, conversion formulas, balanced reaction calculations, and limiting reactants.",0,0,0,0,13,0,0,[],ch-2_stoichiometry/arabic-native/evaluation/grok-4.3__e9e6bcbf2eec/results.md
stoichiometry,claude-sonnet-5,English prompt / English response,English prompt / English response,513,on_topic,"The text directly and comprehensively explains stoichiometry, covering its definition, balanced chemical equations, mole ratios, calculation procedures, a worked example, limiting reactants, yields, tips, and an everyday analogy.",0,0,0,0,10,0,0,[],ch-2_stoichiometry/english/evaluation/claude-sonnet-5__c2657941e8bd/results.md
stoichiometry,gemini-3.8-flash,English prompt / English response,English prompt / English response,734,on_topic,"The response explains stoichiometry directly and comprehensively, introducing its conceptual definition, using a recipe analogy, explaining the role of the mole and atomic masses, outlining the standard calculation procedure, and providing a fully worked calculation example.",0,0,0,0,7,0,0,[],ch-2_stoichiometry/english/evaluation/gemini-3.8-flash__16a10050885b/results.md
stoichiometry,gpt-5.6-terra,English prompt / English response,English prompt / English response,787,on_topic,"The entire response directly and thoroughly explains stoichiometry, covering chemical equations, mole ratios, molar mass, calculation pathways, a worked example, dimensional analysis, limiting reactants, common mistakes, and summary recaps.",0,0,0,0,13,0,0,[],ch-2_stoichiometry/english/evaluation/gpt-5.6-terra__df092e2dc70c/results.md
