topic,model,condition,condition_label,word_count,total,CONCEPT,EXAMPLE,ANALOGY,PROCEDURE,STUDY_SUPPORT,CAVEAT,OTHER,source
isotope,claude-sonnet-5,Bengali prompt / Bengali response,Bengali prompt / Bengali response,241,7,3,2,0,0,2,0,0,ch-1_isotope/bengali-native/claude-sonnet-5__d06138c866ec.json
isotope,gpt-5.6-terra,English prompt / French response,English prompt / French response,222,4,3,1,0,0,0,0,0,ch-1_isotope/french-english/gpt-5.6-terra__18b7401bcb47.json
isotope,gpt-5.6-terra,Bengali prompt / Bengali response,Bengali prompt / Bengali response,258,10,3,6,0,0,1,0,0,ch-1_isotope/bengali-native/gpt-5.6-terra__ba016c1ab43c.json
isotope,grok-4.3,Bengali prompt / Bengali response,Bengali prompt / Bengali response,198,6,3,2,1,0,0,0,0,ch-1_isotope/bengali-native/grok-4.3__125febf29835.json
isotope,claude-sonnet-5,English prompt / French response,English prompt / French response,215,6,3,1,1,0,1,0,0,ch-1_isotope/french-english/claude-sonnet-5__825261af1d2b.json
isotope,llama-4-maverick,Bengali prompt / Bengali response,Bengali prompt / Bengali response,201,5,3,2,0,0,0,0,0,ch-1_isotope/bengali-native/llama-4-maverick__a7e6a1daaec4.json
isotope,claude-sonnet-5,Arabic prompt / Arabic response,Arabic prompt / Arabic response,242,11,4,6,0,1,0,0,0,ch-1_isotope/arabic-native/claude-sonnet-5__66d3c9f292d7.json
isotope,gemini-3.8-flash,French prompt / French response,French prompt / French response,598,9,3,4,1,0,1,0,0,ch-1_isotope/french-native/gemini-3.8-flash__0080f70fcc5d.json
isotope,claude-sonnet-5,French prompt / French response,French prompt / French response,281,7,4,2,0,0,1,0,0,ch-1_isotope/french-native/claude-sonnet-5__34a02b664f1b.json
isotope,gemini-3.8-flash,English prompt / French response,English prompt / French response,506,9,3,4,1,0,1,0,0,ch-1_isotope/french-english/gemini-3.8-flash__2e59f2487cc8.json
isotope,llama-4-maverick,French prompt / French response,French prompt / French response,489,8,3,4,0,0,1,0,0,ch-1_isotope/french-native/llama-4-maverick__3e5e28b1017d.json
isotope,claude-sonnet-5,English prompt / Hindi response,English prompt / Hindi response,256,7,3,2,1,0,1,0,0,ch-1_isotope/hindi-english/claude-sonnet-5__2ec5b353d7ef.json
isotope,grok-4.3,English prompt / French response,English prompt / French response,322,8,2,4,1,0,1,0,0,ch-1_isotope/french-english/grok-4.3__5b387b380b4c.json
isotope,gemini-3.8-flash,English prompt / Hindi response,English prompt / Hindi response,511,10,3,5,1,0,1,0,0,ch-1_isotope/hindi-english/gemini-3.8-flash__9cd4caaf77c0.json
isotope,grok-4.3,French prompt / French response,French prompt / French response,287,5,2,2,0,0,1,0,0,ch-1_isotope/french-native/grok-4.3__1134b69d729f.json
isotope,gpt-5.6-terra,English prompt / Hindi response,English prompt / Hindi response,214,8,2,5,0,0,1,0,0,ch-1_isotope/hindi-english/gpt-5.6-terra__ac01c0cb3345.json
isotope,claude-sonnet-5,English prompt / Tamil response,English prompt / Tamil response,203,6,3,2,0,0,1,0,0,ch-1_isotope/tamil-english/claude-sonnet-5__ee463dce8da9.json
isotope,gemini-3.8-flash,English prompt / Tamil response,English prompt / Tamil response,332,8,4,2,1,0,1,0,0,ch-1_isotope/tamil-english/gemini-3.8-flash__86e368beb3d7.json
isotope,gpt-5.6-terra,English prompt / Tamil response,English prompt / Tamil response,271,12,6,5,0,0,1,0,0,ch-1_isotope/tamil-english/gpt-5.6-terra__e828bdcb8870.json
isotope,grok-4.3,English prompt / Tamil response,English prompt / Tamil response,169,8,2,5,0,0,1,0,0,ch-1_isotope/tamil-english/grok-4.3__135007903eb8.json
isotope,llama-4-maverick,English prompt / Tamil response,English prompt / Tamil response,142,8,2,6,0,0,0,0,0,ch-1_isotope/tamil-english/llama-4-maverick__3cec6dc0e943.json
isotope,gemini-3.8-flash,Tamil prompt / Tamil response,Tamil prompt / Tamil response,362,10,3,5,1,0,1,0,0,ch-1_isotope/tamil-native/gemini-3.8-flash__8740e93966a5.json
isotope,claude-sonnet-5,Hindi prompt / Hindi response,Hindi prompt / Hindi response,263,10,2,6,1,0,1,0,0,ch-1_isotope/hindi-native/claude-sonnet-5__24f733633bcb.json
isotope,llama-4-maverick,English prompt / Hindi response,English prompt / Hindi response,303,5,3,1,0,0,1,0,0,ch-1_isotope/hindi-english/llama-4-maverick__15939d15aa93.json
isotope,gpt-5.6-terra,French prompt / French response,French prompt / French response,348,7,4,1,0,0,1,1,0,ch-1_isotope/french-native/gpt-5.6-terra__c5e8f9a3704d.json
isotope,grok-4.3,Hindi prompt / Hindi response,Hindi prompt / Hindi response,363,7,2,2,1,0,2,0,0,ch-1_isotope/hindi-native/grok-4.3__cb64d67a40e1.json
isotope,llama-4-maverick,English prompt / French response,English prompt / French response,358,7,2,4,0,0,1,0,0,ch-1_isotope/french-english/llama-4-maverick__9eb64c8cec63.json
isotope,grok-4.3,English prompt / Hindi response,English prompt / Hindi response,222,5,3,2,0,0,0,0,0,ch-1_isotope/hindi-english/grok-4.3__48bcc2949e77.json
isotope,gpt-5.6-terra,Hindi prompt / Hindi response,Hindi prompt / Hindi response,238,10,4,5,0,0,1,0,0,ch-1_isotope/hindi-native/gpt-5.6-terra__41c4eb5c4b6d.json
isotope,llama-4-maverick,Hindi prompt / Hindi response,Hindi prompt / Hindi response,326,7,3,4,0,0,0,0,0,ch-1_isotope/hindi-native/llama-4-maverick__9968eff46619.json
isotope,gemini-3.8-flash,Hindi prompt / Hindi response,Hindi prompt / Hindi response,585,11,3,6,1,0,1,0,0,ch-1_isotope/hindi-native/gemini-3.8-flash__7f0aa08ad287.json
stoichiometry,gemini-3.8-flash,Arabic prompt / Arabic response,Arabic prompt / Arabic response,545,5,1,1,1,1,1,0,0,ch-2_stoichiometry/arabic-native/gemini-3.8-flash__11f818a531af.json
stoichiometry,grok-4.3,English prompt / Arabic response,English prompt / Arabic response,403,8,4,3,0,0,1,0,0,ch-2_stoichiometry/arabic-english/grok-4.3__cf931baabdc0.json
stoichiometry,claude-sonnet-5,English prompt / Arabic response,English prompt / Arabic response,371,8,1,2,1,2,2,0,0,ch-2_stoichiometry/arabic-english/claude-sonnet-5__38c8a5405ec3.json
stoichiometry,claude-sonnet-5,Arabic prompt / Arabic response,Arabic prompt / Arabic response,257,5,2,1,0,1,1,0,0,ch-2_stoichiometry/arabic-native/claude-sonnet-5__b6bfd983527c.json
stoichiometry,gemini-3.8-flash,English prompt / Arabic response,English prompt / Arabic response,463,6,2,1,1,1,1,0,0,ch-2_stoichiometry/arabic-english/gemini-3.8-flash__68a52868f408.json
stoichiometry,llama-4-maverick,English prompt / Arabic response,English prompt / Arabic response,505,5,1,3,0,1,0,0,0,ch-2_stoichiometry/arabic-english/llama-4-maverick__b8bda956cefe.json
stoichiometry,llama-4-maverick,Arabic prompt / Arabic response,Arabic prompt / Arabic response,324,5,2,1,0,1,1,0,0,ch-2_stoichiometry/arabic-native/llama-4-maverick__9a86abc7eec1.json
stoichiometry,claude-sonnet-5,English prompt / Bengali response,English prompt / Bengali response,352,7,4,1,0,0,2,0,0,ch-2_stoichiometry/bengali-english/claude-sonnet-5__dd92481b9fa9.json
stoichiometry,gpt-5.6-terra,English prompt / Arabic response,English prompt / Arabic response,718,17,7,6,1,1,1,1,0,ch-2_stoichiometry/arabic-english/gpt-5.6-terra__c84713758c16.json
stoichiometry,llama-4-maverick,English prompt / Bengali response,English prompt / Bengali response,277,3,1,2,0,0,0,0,0,ch-2_stoichiometry/bengali-english/llama-4-maverick__3d3a45597f92.json
stoichiometry,grok-4.3,Arabic prompt / Arabic response,Arabic prompt / Arabic response,403,13,4,7,0,1,1,0,0,ch-2_stoichiometry/arabic-native/grok-4.3__e9e6bcbf2eec.json
stoichiometry,claude-sonnet-5,English prompt / English response,English prompt / English response,513,10,6,1,1,1,1,0,0,ch-2_stoichiometry/english/claude-sonnet-5__c2657941e8bd.json
stoichiometry,gemini-3.8-flash,English prompt / English response,English prompt / English response,734,7,3,1,1,1,1,0,0,ch-2_stoichiometry/english/gemini-3.8-flash__16a10050885b.json
stoichiometry,gpt-5.6-terra,English prompt / English response,English prompt / English response,787,13,5,2,1,2,1,2,0,ch-2_stoichiometry/english/gpt-5.6-terra__df092e2dc70c.json
stoichiometry,grok-4.3,English prompt / English response,English prompt / English response,578,8,5,1,0,1,1,0,0,ch-2_stoichiometry/english/grok-4.3__3b9f00f2ff5e.json
stoichiometry,llama-4-maverick,English prompt / English response,English prompt / English response,510,5,3,1,0,1,0,0,0,ch-2_stoichiometry/english/llama-4-maverick__604a671598b6.json
stoichiometry,gemini-3.8-flash,Bengali prompt / Bengali response,Bengali prompt / Bengali response,528,8,3,1,1,1,2,0,0,ch-2_stoichiometry/bengali-native/gemini-3.8-flash__dea053afc4bd.json
stoichiometry,gpt-5.6-terra,English prompt / Bengali response,English prompt / Bengali response,585,11,5,3,0,1,2,0,0,ch-2_stoichiometry/bengali-english/gpt-5.6-terra__1b10a45881ec.json
stoichiometry,gemini-3.8-flash,English prompt / Bengali response,English prompt / Bengali response,494,6,2,1,1,1,1,0,0,ch-2_stoichiometry/bengali-english/gemini-3.8-flash__42f7a83aea6e.json
stoichiometry,grok-4.3,English prompt / Bengali response,English prompt / Bengali response,275,4,2,1,0,1,0,0,0,ch-2_stoichiometry/bengali-english/grok-4.3__092159d7e9bd.json
stoichiometry,claude-sonnet-5,Bengali prompt / Bengali response,Bengali prompt / Bengali response,316,8,5,1,0,1,1,0,0,ch-2_stoichiometry/bengali-native/claude-sonnet-5__416a8b6035d4.json
stoichiometry,llama-4-maverick,English prompt / French response,English prompt / French response,427,5,2,1,0,1,1,0,0,ch-2_stoichiometry/french-english/llama-4-maverick__db3c4e55be79.json
stoichiometry,gpt-5.6-terra,Bengali prompt / Bengali response,Bengali prompt / Bengali response,745,12,7,2,0,1,2,0,0,ch-2_stoichiometry/bengali-native/gpt-5.6-terra__bc341516cea4.json
stoichiometry,claude-sonnet-5,English prompt / French response,English prompt / French response,319,7,3,2,0,1,0,1,0,ch-2_stoichiometry/french-english/claude-sonnet-5__1b5c706969ee.json
stoichiometry,claude-sonnet-5,French prompt / French response,French prompt / French response,373,8,4,1,1,1,1,0,0,ch-2_stoichiometry/french-native/claude-sonnet-5__4f01f0e1bb93.json
stoichiometry,grok-4.3,English prompt / French response,English prompt / French response,481,9,3,3,1,1,1,0,0,ch-2_stoichiometry/french-english/grok-4.3__0393b379f408.json
stoichiometry,gemini-3.8-flash,English prompt / French response,English prompt / French response,610,7,4,0,1,1,1,0,0,ch-2_stoichiometry/french-english/gemini-3.8-flash__f4ca841d3a00.json
stoichiometry,gemini-3.8-flash,French prompt / French response,French prompt / French response,655,6,3,0,1,1,0,1,0,ch-2_stoichiometry/french-native/gemini-3.8-flash__f4a50cb4e33a.json
stoichiometry,llama-4-maverick,French prompt / French response,French prompt / French response,383,5,2,1,1,1,0,0,0,ch-2_stoichiometry/french-native/llama-4-maverick__657131a3a9b9.json
stoichiometry,gpt-5.6-terra,Arabic prompt / Arabic response,Arabic prompt / Arabic response,684,22,9,9,1,1,2,0,0,ch-2_stoichiometry/arabic-native/gpt-5.6-terra__4c0cc4c79bcc.json
stoichiometry,llama-4-maverick,Bengali prompt / Bengali response,Bengali prompt / Bengali response,319,4,2,1,1,0,0,0,0,ch-2_stoichiometry/bengali-native/llama-4-maverick__69170cb88028.json
stoichiometry,gpt-5.6-terra,English prompt / French response,English prompt / French response,888,15,6,4,1,1,2,1,0,ch-2_stoichiometry/french-english/gpt-5.6-terra__d498ac6e7da8.json
stoichiometry,grok-4.3,Bengali prompt / Bengali response,Bengali prompt / Bengali response,340,8,4,2,1,0,1,0,0,ch-2_stoichiometry/bengali-native/grok-4.3__446eb243613a.json
stoichiometry,gpt-5.6-terra,French prompt / French response,French prompt / French response,846,12,6,3,0,2,1,0,0,ch-2_stoichiometry/french-native/gpt-5.6-terra__7bf477f29784.json
stoichiometry,llama-4-maverick,English prompt / Hindi response,English prompt / Hindi response,358,6,3,1,0,1,1,0,0,ch-2_stoichiometry/hindi-english/llama-4-maverick__57a56205e96a.json
stoichiometry,claude-sonnet-5,English prompt / Hindi response,English prompt / Hindi response,384,8,4,2,0,1,1,0,0,ch-2_stoichiometry/hindi-english/claude-sonnet-5__2f02270e4dca.json
stoichiometry,claude-sonnet-5,English prompt / Tamil response,English prompt / Tamil response,225,7,2,1,1,1,2,0,0,ch-2_stoichiometry/tamil-english/claude-sonnet-5__10a186887f75.json
stoichiometry,gemini-3.8-flash,English prompt / Tamil response,English prompt / Tamil response,380,9,3,4,1,0,1,0,0,ch-2_stoichiometry/tamil-english/gemini-3.8-flash__41ad2eb4684b.json
stoichiometry,gpt-5.6-terra,English prompt / Tamil response,English prompt / Tamil response,531,10,6,2,0,1,1,0,0,ch-2_stoichiometry/tamil-english/gpt-5.6-terra__c60296b94917.json
stoichiometry,grok-4.3,English prompt / Tamil response,English prompt / Tamil response,301,7,3,3,0,0,1,0,0,ch-2_stoichiometry/tamil-english/grok-4.3__54ed13b31295.json
stoichiometry,llama-4-maverick,English prompt / Tamil response,English prompt / Tamil response,195,4,2,2,0,0,0,0,0,ch-2_stoichiometry/tamil-english/llama-4-maverick__06b82dd6e52e.json
stoichiometry,claude-sonnet-5,Tamil prompt / Tamil response,Tamil prompt / Tamil response,207,8,4,2,0,1,1,0,0,ch-2_stoichiometry/tamil-native/claude-sonnet-5__4e54f47a7848.json
stoichiometry,gemini-3.8-flash,Tamil prompt / Tamil response,Tamil prompt / Tamil response,411,8,1,4,1,1,1,0,0,ch-2_stoichiometry/tamil-native/gemini-3.8-flash__383499f4aeda.json
stoichiometry,gpt-5.6-terra,Tamil prompt / Tamil response,Tamil prompt / Tamil response,337,10,4,5,0,0,1,0,0,ch-2_stoichiometry/tamil-native/gpt-5.6-terra__a13389fad3d2.json
stoichiometry,grok-4.3,Tamil prompt / Tamil response,Tamil prompt / Tamil response,292,6,3,2,0,0,1,0,0,ch-2_stoichiometry/tamil-native/grok-4.3__0d266c4f28a2.json
stoichiometry,llama-4-maverick,Tamil prompt / Tamil response,Tamil prompt / Tamil response,199,5,3,2,0,0,0,0,0,ch-2_stoichiometry/tamil-native/llama-4-maverick__8049a3d295b6.json
stoichiometry,gpt-5.6-terra,English prompt / Hindi response,English prompt / Hindi response,708,10,5,2,0,1,2,0,0,ch-2_stoichiometry/hindi-english/gpt-5.6-terra__a35a9e495acb.json
stoichiometry,grok-4.3,English prompt / Hindi response,English prompt / Hindi response,382,7,3,3,0,0,1,0,0,ch-2_stoichiometry/hindi-english/grok-4.3__294e932d7890.json
stoichiometry,llama-4-maverick,Hindi prompt / Hindi response,Hindi prompt / Hindi response,425,6,4,1,0,0,1,0,0,ch-2_stoichiometry/hindi-native/llama-4-maverick__0051a456a205.json
stoichiometry,claude-sonnet-5,Hindi prompt / Hindi response,Hindi prompt / Hindi response,293,7,3,2,0,1,1,0,0,ch-2_stoichiometry/hindi-native/claude-sonnet-5__0c99f08b89ca.json
stoichiometry,grok-4.3,French prompt / French response,French prompt / French response,551,12,4,5,1,0,2,0,0,ch-2_stoichiometry/french-native/grok-4.3__93b9856d5cff.json
stoichiometry,gemini-3.8-flash,English prompt / Hindi response,English prompt / Hindi response,583,8,3,2,1,1,1,0,0,ch-2_stoichiometry/hindi-english/gemini-3.8-flash__9749b7a02fa3.json
stoichiometry,grok-4.3,Hindi prompt / Hindi response,Hindi prompt / Hindi response,438,9,3,4,0,0,2,0,0,ch-2_stoichiometry/hindi-native/grok-4.3__dbbe726d06b8.json
mole concept,llama-4-maverick,English prompt / Arabic response,English prompt / Arabic response,230,8,5,3,0,0,0,0,0,ch-3_mole_concept/arabic-english/llama-4-maverick__90915903be20.json
mole concept,gemini-3.8-flash,Arabic prompt / Arabic response,Arabic prompt / Arabic response,430,12,5,5,1,0,1,0,0,ch-3_mole_concept/arabic-native/gemini-3.8-flash__c7ddd186e0e9.json
mole concept,claude-sonnet-5,English prompt / Arabic response,English prompt / Arabic response,279,12,5,5,1,0,1,0,0,ch-3_mole_concept/arabic-english/claude-sonnet-5__a1f11eb64893.json
mole concept,grok-4.3,English prompt / Arabic response,English prompt / Arabic response,242,10,4,5,0,0,1,0,0,ch-3_mole_concept/arabic-english/grok-4.3__e402dc77133a.json
stoichiometry,gpt-5.6-terra,Hindi prompt / Hindi response,Hindi prompt / Hindi response,687,10,6,2,0,1,1,0,0,ch-2_stoichiometry/hindi-native/gpt-5.6-terra__dc0112c58fd8.json
mole concept,llama-4-maverick,Arabic prompt / Arabic response,Arabic prompt / Arabic response,182,5,2,2,0,0,1,0,0,ch-3_mole_concept/arabic-native/llama-4-maverick__7158c85044df.json
mole concept,gemini-3.8-flash,English prompt / Arabic response,English prompt / Arabic response,450,6,4,1,0,0,1,0,0,ch-3_mole_concept/arabic-english/gemini-3.8-flash__0937c98d2bf1.json
mole concept,claude-sonnet-5,English prompt / Bengali response,English prompt / Bengali response,352,13,5,5,2,0,1,0,0,ch-3_mole_concept/bengali-english/claude-sonnet-5__8559faaac939.json
mole concept,grok-4.3,Arabic prompt / Arabic response,Arabic prompt / Arabic response,283,6,3,1,1,0,1,0,0,ch-3_mole_concept/arabic-native/grok-4.3__b4666d6106af.json
stoichiometry,gemini-3.8-flash,Hindi prompt / Hindi response,Hindi prompt / Hindi response,604,9,2,4,1,1,1,0,0,ch-2_stoichiometry/hindi-native/gemini-3.8-flash__dfcf7746daff.json
mole concept,llama-4-maverick,English prompt / Bengali response,English prompt / Bengali response,249,8,4,4,0,0,0,0,0,ch-3_mole_concept/bengali-english/llama-4-maverick__99003b414307.json
mole concept,grok-4.3,Bengali prompt / Bengali response,Bengali prompt / Bengali response,294,10,3,3,1,2,1,0,0,ch-3_mole_concept/bengali-native/grok-4.3__5eec7afdcbb9.json
mole concept,claude-sonnet-5,Arabic prompt / Arabic response,Arabic prompt / Arabic response,222,9,4,3,1,0,1,0,0,ch-3_mole_concept/arabic-native/claude-sonnet-5__0529c84b108c.json
mole concept,claude-sonnet-5,English prompt / English response,English prompt / English response,422,8,4,2,1,0,1,0,0,ch-3_mole_concept/english/claude-sonnet-5__57081cfc99e2.json
mole concept,gpt-5.6-terra,English prompt / Arabic response,English prompt / Arabic response,598,20,7,8,0,2,2,1,0,ch-3_mole_concept/arabic-english/gpt-5.6-terra__14911809aec9.json
mole concept,gemini-3.8-flash,English prompt / English response,English prompt / English response,600,13,4,6,2,0,1,0,0,ch-3_mole_concept/english/gemini-3.8-flash__b643fd1d9d7d.json
mole concept,gpt-5.6-terra,English prompt / English response,English prompt / English response,696,20,8,9,1,0,1,1,0,ch-3_mole_concept/english/gpt-5.6-terra__6fd2100a2252.json
mole concept,grok-4.3,English prompt / English response,English prompt / English response,522,14,4,6,2,1,1,0,0,ch-3_mole_concept/english/grok-4.3__6d2fe2e80d95.json
mole concept,llama-4-maverick,English prompt / English response,English prompt / English response,492,7,4,1,0,1,1,0,0,ch-3_mole_concept/english/llama-4-maverick__786f8e76263d.json
mole concept,gpt-5.6-terra,Arabic prompt / Arabic response,Arabic prompt / Arabic response,375,11,5,4,1,0,1,0,0,ch-3_mole_concept/arabic-native/gpt-5.6-terra__61362604525e.json
mole concept,llama-4-maverick,Bengali prompt / Bengali response,Bengali prompt / Bengali response,307,7,4,2,1,0,0,0,0,ch-3_mole_concept/bengali-native/llama-4-maverick__33cd4b60c62c.json
mole concept,gpt-5.6-terra,Bengali prompt / Bengali response,Bengali prompt / Bengali response,406,9,5,3,0,0,1,0,0,ch-3_mole_concept/bengali-native/gpt-5.6-terra__2e9ff7b4d891.json
mole concept,gemini-3.8-flash,English prompt / Bengali response,English prompt / Bengali response,520,9,5,3,0,0,1,0,0,ch-3_mole_concept/bengali-english/gemini-3.8-flash__fc393e90784e.json
mole concept,grok-4.3,English prompt / Bengali response,English prompt / Bengali response,320,14,6,6,0,0,2,0,0,ch-3_mole_concept/bengali-english/grok-4.3__59abd9fd8638.json
mole concept,claude-sonnet-5,English prompt / French response,English prompt / French response,328,11,5,4,1,0,1,0,0,ch-3_mole_concept/french-english/claude-sonnet-5__0c858bff3424.json
mole concept,grok-4.3,English prompt / French response,English prompt / French response,332,9,4,4,1,0,0,0,0,ch-3_mole_concept/french-english/grok-4.3__c24338970ad2.json
mole concept,gemini-3.8-flash,Bengali prompt / Bengali response,Bengali prompt / Bengali response,489,11,4,5,1,0,1,0,0,ch-3_mole_concept/bengali-native/gemini-3.8-flash__a5716c4f6e1d.json
mole concept,gemini-3.8-flash,English prompt / French response,English prompt / French response,572,7,4,1,1,0,1,0,0,ch-3_mole_concept/french-english/gemini-3.8-flash__e3cff4fac54d.json
mole concept,llama-4-maverick,English prompt / French response,English prompt / French response,481,7,5,2,0,0,0,0,0,ch-3_mole_concept/french-english/llama-4-maverick__b5967914b747.json
mole concept,gpt-5.6-terra,English prompt / French response,English prompt / French response,577,14,7,3,1,1,1,1,0,ch-3_mole_concept/french-english/gpt-5.6-terra__f34edbef7d42.json
mole concept,llama-4-maverick,French prompt / French response,French prompt / French response,427,7,5,1,0,0,1,0,0,ch-3_mole_concept/french-native/llama-4-maverick__b0825592b0d7.json
mole concept,claude-sonnet-5,Bengali prompt / Bengali response,Bengali prompt / Bengali response,261,7,4,1,2,0,0,0,0,ch-3_mole_concept/bengali-native/claude-sonnet-5__0fa5fac173b7.json
mole concept,gpt-5.6-terra,English prompt / Bengali response,English prompt / Bengali response,530,16,8,6,0,0,2,0,0,ch-3_mole_concept/bengali-english/gpt-5.6-terra__da18d2e51701.json
mole concept,gemini-3.8-flash,French prompt / French response,French prompt / French response,651,7,3,1,1,0,1,1,0,ch-3_mole_concept/french-native/gemini-3.8-flash__43a6b907944c.json
mole concept,llama-4-maverick,English prompt / Hindi response,English prompt / Hindi response,324,6,5,0,0,0,1,0,0,ch-3_mole_concept/hindi-english/llama-4-maverick__233e55523507.json
mole concept,claude-sonnet-5,English prompt / Hindi response,English prompt / Hindi response,300,9,6,2,0,0,1,0,0,ch-3_mole_concept/hindi-english/claude-sonnet-5__c7b61483c875.json
mole concept,grok-4.3,English prompt / Hindi response,English prompt / Hindi response,422,10,4,3,1,0,2,0,0,ch-3_mole_concept/hindi-english/grok-4.3__71019d352927.json
mole concept,gpt-5.6-terra,French prompt / French response,French prompt / French response,506,11,5,4,1,0,1,0,0,ch-3_mole_concept/french-native/gpt-5.6-terra__c39060e892c0.json
mole concept,claude-sonnet-5,English prompt / Tamil response,English prompt / Tamil response,267,10,5,2,0,0,3,0,0,ch-3_mole_concept/tamil-english/claude-sonnet-5__f241d3c0fb37.json
mole concept,gemini-3.8-flash,English prompt / Tamil response,English prompt / Tamil response,390,8,3,3,1,0,1,0,0,ch-3_mole_concept/tamil-english/gemini-3.8-flash__d064842c650a.json
mole concept,gpt-5.6-terra,English prompt / Tamil response,English prompt / Tamil response,483,18,6,9,1,0,1,1,0,ch-3_mole_concept/tamil-english/gpt-5.6-terra__6ad8ac8da58c.json
mole concept,grok-4.3,English prompt / Tamil response,English prompt / Tamil response,248,11,3,5,1,1,1,0,0,ch-3_mole_concept/tamil-english/grok-4.3__0041b70a0be2.json
mole concept,llama-4-maverick,English prompt / Tamil response,English prompt / Tamil response,221,5,3,1,0,0,1,0,0,ch-3_mole_concept/tamil-english/llama-4-maverick__52e291c81dac.json
mole concept,claude-sonnet-5,Tamil prompt / Tamil response,Tamil prompt / Tamil response,229,8,4,2,1,0,1,0,0,ch-3_mole_concept/tamil-native/claude-sonnet-5__628ecd25b740.json
mole concept,gemini-3.8-flash,Tamil prompt / Tamil response,Tamil prompt / Tamil response,401,6,2,1,1,1,1,0,0,ch-3_mole_concept/tamil-native/gemini-3.8-flash__ae77dde5cd13.json
mole concept,gpt-5.6-terra,Tamil prompt / Tamil response,Tamil prompt / Tamil response,410,14,6,6,1,0,1,0,0,ch-3_mole_concept/tamil-native/gpt-5.6-terra__68a70a4a65d1.json
mole concept,grok-4.3,Tamil prompt / Tamil response,Tamil prompt / Tamil response,309,13,6,6,0,0,1,0,0,ch-3_mole_concept/tamil-native/grok-4.3__4ad8f6f2b547.json
