topic,model,condition,language,prompt_type,unit_id,kind,label,word_count,excerpt_count
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,u4,EXAMPLE,Application of carbon-14 in radiocarbon dating,18,1
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,u5,STUDY_SUPPORT,Recap summary of isotope definition,14,1
ch-1_isotope,grok-4.3,arabic-english,Arabic,english,u1,CONCEPT,Definition and nuclear composition of isotopes,54,1
ch-1_isotope,grok-4.3,arabic-english,Arabic,english,u2,EXAMPLE,Comparison of carbon-12 and carbon-14 isotopes,41,1
ch-1_isotope,grok-4.3,arabic-english,Arabic,english,u3,CONCEPT,Chemical and physical properties of isotopes,28,1
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,u1,CONCEPT,Definition of isotopes and atomic/mass numbers,36,1
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,u2,EXAMPLE,"Comparison of carbon-12, carbon-13, and carbon-14",94,1
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,u3,CONCEPT,Chemical and physical properties of isotopes,36,1
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,u4,EXAMPLE,Radiocarbon dating application,9,1
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,u5,EXAMPLE,Nuclear medicine application,5,1
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,u1,CONCEPT,Definition of isotopes and subatomic basis of isotope formation,74,1
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,u2,EXAMPLE,"Comparison of carbon isotopes (carbon-12, carbon-13, and carbon-14)",35,1
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,u3,EXAMPLE,Calculating the number of neutrons in a sodium-23 isotope,27,1
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,u4,CONCEPT,Classification of isotopes into stable and radioactive,24,1
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,u5,EXAMPLE,Real-world applications of selected isotopes,25,1
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,u6,CONCEPT,Explanation of identical chemical properties and differing physical properties in isotopes,27,1
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,u1,CONCEPT,"Linguistic definition, singular forms, lexical meaning, and grammatical plural classification of 'نظائر'",62,1
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,u2,CONCEPT,Scientific definition of isotopes and explanation of why they are called 'نظائر',87,1
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,u3,EXAMPLE,"Comparative example of hydrogen isotopes (protium, deuterium, tritium)",28,1
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,u4,STUDY_SUPPORT,Summary recap of the linguistic and scientific definitions of 'نظائر',27,1
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,u1,CONCEPT,"Definition of isotopes based on proton, neutron, and mass numbers",25,1
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,u2,EXAMPLE,Hydrogen isotopes comparison,39,1
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,u3,ANALOGY,Three brothers analogy for isotopes,28,1
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,u4,CONCEPT,Chemical and physical properties and periodic table placement of isotopes,33,1
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,u5,EXAMPLE,Carbon isotopes and radiocarbon dating application,27,1
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,u6,STUDY_SUPPORT,Memory rule for isotopes,9,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u1,CONCEPT,Definition of isotope,17,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u2,STUDY_SUPPORT,Mnemonic using the Bengali letter 'প' for proton number,22,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u3,ANALOGY,School bag weight analogy for isotopes,66,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u4,EXAMPLE,Comparative example of hydrogen isotopes,70,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u5,CONCEPT,Chemical and physical properties of isotopes,49,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u6,EXAMPLE,Medical applications of Cobalt-60 and Iodine-131,17,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u7,EXAMPLE,Carbon dating application using Carbon-14,20,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u8,EXAMPLE,Nuclear electricity generation using uranium isotopes,13,1
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,u9,STUDY_SUPPORT,Summary recap formula for isotope,12,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u1,CONCEPT,Definition of isotopes and relationship between atomic number and mass number,33,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u2,EXAMPLE,"Comparative example of hydrogen isotopes (protium, deuterium, and tritium)",52,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u3,CONCEPT,Chemical and physical properties of isotopes,31,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u4,EXAMPLE,Application of carbon-14 in radiometric dating,7,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u5,EXAMPLE,Application of cobalt-60 in cancer treatment,3,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u6,EXAMPLE,Application of uranium-235 in nuclear power generation,4,1
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,u7,STUDY_SUPPORT,Summary recap of the definition of isotope,13,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u1,CONCEPT,Definition of atomic number and isotope,40,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u2,EXAMPLE,"Isotopes of hydrogen (protium, deuterium, tritium)",33,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u3,EXAMPLE,Isotopes of carbon (carbon-12 and carbon-14),19,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u4,CONCEPT,Chemical and physical properties of isotopes,29,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u5,EXAMPLE,Medical applications of isotopes,1,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u6,EXAMPLE,Isotopes in nuclear power generation,3,1
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,u7,EXAMPLE,Carbon-14 dating in archaeology,9,1
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,u1,CONCEPT,Definition and subatomic basis of isotopes,62,1
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,u2,EXAMPLE,"Comparison of hydrogen isotopes (protium, deuterium, and tritium)",39,1
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,u3,CONCEPT,Variation in physical properties among isotopes and their practical significance,26,1
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,u4,EXAMPLE,Radiocarbon dating as an application of isotopes,2,1
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,u5,EXAMPLE,Nuclear medicine as an application of isotopes,2,1
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,u6,EXAMPLE,Physics research as an application of isotopes,2,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u1,CONCEPT,Review of basic atomic structure,24,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u2,CONCEPT,Definition and explanation of isotopes,26,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u3,EXAMPLE,"Isotopes of hydrogen (Protium, Deuterium, Tritium)",46,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u4,STUDY_SUPPORT,Etymological memory aid for the Bengali term 'সমস্থানিক',36,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u5,EXAMPLE,Isotopes of carbon and their characteristics,29,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u6,CONCEPT,General physical and chemical properties of isotopes,26,1
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,u7,STUDY_SUPPORT,Self-assessment practice question identifying isotopes,41,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u1,ANALOGY,Analogy of triplet brothers with identical appearance but different body weights,56,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u2,CONCEPT,"Definition, etymology, and subatomic explanation of isotopes",98,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u3,EXAMPLE,"Comparison of hydrogen isotopes: protium, deuterium, and tritium",76,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u4,STUDY_SUPPORT,Mnemonic linking the ending letter 'p' of isotope to proton,30,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u5,EXAMPLE,Medical applications of Cobalt-60 and Iodine-131,17,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u6,EXAMPLE,Application of Carbon-14 in dating ancient objects,29,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u7,EXAMPLE,Applications of isotopes in agriculture and electricity generation,17,1
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,u8,STUDY_SUPPORT,Summary recap of the definition of isotopes,19,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u1,CONCEPT,Definition of isotope and connection to mass number,33,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u2,CONCEPT,Atomic structure and role of protons in element identity,30,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u3,EXAMPLE,Carbon isotopes comparison and notation,70,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u4,EXAMPLE,Hydrogen isotopes,26,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u5,CONCEPT,General properties of isotopes,52,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u6,EXAMPLE,Application of carbon-14 in radiocarbon dating,12,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u7,EXAMPLE,Application of cobalt-60 in cancer treatment,3,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u8,EXAMPLE,Application of iodine-131 in thyroid diagnosis and treatment,6,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u9,EXAMPLE,Application of uranium-235 in nuclear power,4,1
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,u10,STUDY_SUPPORT,Memory aid for definition of isotope,20,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u1,CONCEPT,Definition and basic mechanism of isotopes,39,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u2,EXAMPLE,Worked comparison of hydrogen isotopes,38,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u3,EXAMPLE,Chlorine isotopes and average atomic mass,21,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u4,CONCEPT,Properties of isotopes,29,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u5,EXAMPLE,Application in cancer treatment,8,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u6,EXAMPLE,Application in radiocarbon dating,9,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u7,EXAMPLE,Application in nuclear power,5,1
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,u8,ANALOGY,Siblings analogy for isotopes,13,1
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,u1,CONCEPT,Definition of isotopes and comparison of chemical and physical properties,40,1
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,u2,EXAMPLE,"Isotopes of hydrogen (protium, deuterium, tritium)",38,1
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,u3,EXAMPLE,Isotopes of carbon and application in radiocarbon dating,25,1
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,u4,CONCEPT,"Definitions of mass number and atomic number, and calculation of neutron number",44,1
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,u5,STUDY_SUPPORT,Closing recap of the definition of isotope with hydrogen example,54,1
ch-1_isotope,claude-sonnet-5,english,English,english,u1,CONCEPT,Definition of isotopes and subatomic explanation,104,1
ch-1_isotope,claude-sonnet-5,english,English,english,u2,EXAMPLE,Comparison of carbon isotopes and notation,53,1
ch-1_isotope,claude-sonnet-5,english,English,english,u3,CONCEPT,Chemical and physical properties and stability of isotopes,44,1
ch-1_isotope,claude-sonnet-5,english,English,english,u4,EXAMPLE,Radiocarbon dating application,25,1
ch-1_isotope,claude-sonnet-5,english,English,english,u5,STUDY_SUPPORT,Quick check practice question on identifying isotopes,43,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u1,CONCEPT,Role of protons and neutrons in atomic structure and mass,79,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u2,CONCEPT,Definition and chemical/physical properties of isotopes,54,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u3,ANALOGY,Twin and backpack analogy for atomic identity and neutron mass,82,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u4,EXAMPLE,"Comparative example of carbon isotopes (Carbon-12, Carbon-13, and Carbon-14)",99,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u5,EXAMPLE,Application of carbon-14 in radiocarbon dating,40,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u6,EXAMPLE,Application of radioactive isotopes as medical tracers,34,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u7,EXAMPLE,Application of uranium-235 in nuclear energy generation,18,1
ch-1_isotope,gemini-3.8-flash,english,English,english,u8,STUDY_SUPPORT,Summary cheat sheet for isotopes,21,1
ch-1_isotope,gpt-5.6-terra,english,English,english,u1,CONCEPT,Definition of isotopes and relationship between subatomic particles and mass,49,1
ch-1_isotope,gpt-5.6-terra,english,English,english,u2,EXAMPLE,"Comparison of carbon-12, carbon-13, and carbon-14 isotopes",56,1
ch-1_isotope,gpt-5.6-terra,english,English,english,u3,CONCEPT,Distinction between stable and radioactive isotopes,22,1
ch-1_isotope,gpt-5.6-terra,english,English,english,u4,EXAMPLE,Radiocarbon dating using carbon-14,18,1
ch-1_isotope,grok-4.3,english,English,english,u1,CONCEPT,Definition of isotopes and atomic structure,73,1
ch-1_isotope,grok-4.3,english,English,english,u2,EXAMPLE,Isotopes of carbon,68,1
ch-1_isotope,grok-4.3,english,English,english,u3,EXAMPLE,Isotopes of hydrogen,33,1
ch-1_isotope,grok-4.3,english,English,english,u4,CONCEPT,Significance of isotopes: stability and radioactivity,38,1
ch-1_isotope,grok-4.3,english,English,english,u5,STUDY_SUPPORT,Summary recap of isotopes,18,1
ch-1_isotope,llama-4-maverick,english,English,english,u1,CONCEPT,Definition and nuclear basis of isotopes,98,2
ch-1_isotope,llama-4-maverick,english,English,english,u2,STUDY_SUPPORT,Prerequisite review of basic atomic structure,56,1
ch-1_isotope,llama-4-maverick,english,English,english,u3,EXAMPLE,Comparative calculation and breakdown of carbon isotopes,82,1
ch-1_isotope,llama-4-maverick,english,English,english,u4,CONCEPT,Chemical and physical properties of isotopes,63,1
ch-1_isotope,llama-4-maverick,english,English,english,u5,EXAMPLE,Medical applications of radioisotopes,10,1
ch-1_isotope,llama-4-maverick,english,English,english,u6,EXAMPLE,Environmental science applications of isotopes,15,1
ch-1_isotope,llama-4-maverick,english,English,english,u7,EXAMPLE,Archaeological dating application of carbon-14,10,1
ch-1_isotope,claude-sonnet-5,french-english,French,english,u1,CONCEPT,Definition of an isotope,33,1
ch-1_isotope,claude-sonnet-5,french-english,French,english,u2,ANALOGY,Analogy of siblings to explain isotopes,42,1
ch-1_isotope,claude-sonnet-5,french-english,French,english,u3,EXAMPLE,Carbon isotopes comparison,39,1
ch-1_isotope,claude-sonnet-5,french-english,French,english,u4,CONCEPT,Standard isotopic notation,23,1
ch-1_isotope,claude-sonnet-5,french-english,French,english,u5,CONCEPT,Isotope stability and radioactivity,33,1
ch-1_isotope,claude-sonnet-5,french-english,French,english,u6,STUDY_SUPPORT,Comprehension practice question on mass number calculation,21,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u1,CONCEPT,Atomic structure and atomic number as chemical identity,80,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u2,ANALOGY,Identical twins with backpacks of different weights,32,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u3,CONCEPT,Definition of isotopes,77,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u4,EXAMPLE,Comparison between Carbon-12 and Carbon-14,81,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u5,CONCEPT,Chemical and physical properties of isotopes,72,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u6,EXAMPLE,Application of Carbon-14 in archaeology,13,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u7,EXAMPLE,Application of radioactive isotopes in medicine,20,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u8,EXAMPLE,Application of Uranium-235 in nuclear power,13,1
ch-1_isotope,gemini-3.8-flash,french-english,French,english,u9,STUDY_SUPPORT,Recap summary of isotopes,21,1
ch-1_isotope,gpt-5.6-terra,french-english,French,english,u1,CONCEPT,Definition of isotopes based on proton and neutron numbers,65,1
ch-1_isotope,gpt-5.6-terra,french-english,French,english,u2,EXAMPLE,"Worked comparison of carbon isotopes, mass number calculation, and nuclear notation",99,1
ch-1_isotope,gpt-5.6-terra,french-english,French,english,u3,CONCEPT,Chemical properties and radioactivity of isotopes,35,1
ch-1_isotope,gpt-5.6-terra,french-english,French,english,u4,EXAMPLE,Radiocarbon dating application of carbon-14,19,1
ch-1_isotope,grok-4.3,french-english,French,english,u1,CONCEPT,Atomic structure and definition of an isotope,67,1
ch-1_isotope,grok-4.3,french-english,French,english,u2,EXAMPLE,Carbon isotopes comparison and mass number notation,70,1
ch-1_isotope,grok-4.3,french-english,French,english,u3,CONCEPT,Chemical and physical properties of isotopes,83,1
ch-1_isotope,grok-4.3,french-english,French,english,u4,EXAMPLE,Medical applications of radioisotopes,16,1
ch-1_isotope,grok-4.3,french-english,French,english,u5,EXAMPLE,Archaeological application of carbon-14 dating,13,1
ch-1_isotope,grok-4.3,french-english,French,english,u6,EXAMPLE,Application of uranium-235 in nuclear energy,11,1
ch-1_isotope,grok-4.3,french-english,French,english,u7,STUDY_SUPPORT,Summary recap of the definition of an isotope,14,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u1,CONCEPT,Definition of isotopes,51,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u2,EXAMPLE,"Derivation of carbon-12, carbon-13, and carbon-14 from proton and neutron counts",64,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u3,CONCEPT,Chemical and physical properties of isotopes,77,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u4,EXAMPLE,Application of carbon-14 in archaeological dating,14,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u5,EXAMPLE,Application of carbon-13 in spectroscopy,17,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u6,EXAMPLE,Application of isotopes in nuclear medicine,14,1
ch-1_isotope,llama-4-maverick,french-english,French,english,u7,STUDY_SUPPORT,"Summary recap of isotope definition, properties, and applications",47,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u1,CONCEPT,Atomic structure prerequisite: subatomic particles and atomic number,57,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u2,CONCEPT,Definition of isotopes,27,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u3,EXAMPLE,Comparative example of carbon isotopes,41,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u4,CONCEPT,Isotope notation convention,29,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u5,CONCEPT,Chemical and physical properties of isotopes,50,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u6,EXAMPLE,Real-world application: radiocarbon dating,41,1
ch-1_isotope,claude-sonnet-5,french-native,French,native,u7,STUDY_SUPPORT,One-sentence recap of isotope definition,21,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u1,ANALOGY,Twin brothers analogy for isotopes,77,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u2,CONCEPT,Review of atomic structure,88,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u3,CONCEPT,Definition and properties of isotopes,57,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u4,EXAMPLE,Comparison of Carbon-12 and Carbon-14,55,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u5,STUDY_SUPPORT,Etymological memory aid for the word isotope,63,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u6,EXAMPLE,Application of carbon-14 in archaeology,54,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u7,EXAMPLE,Application of radioactive isotopes in medicine,26,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u8,EXAMPLE,Application of Uranium-235 in nuclear power,35,1
ch-1_isotope,gemini-3.8-flash,french-native,French,native,u9,STUDY_SUPPORT,Summary recap for exam review,28,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u1,CONCEPT,Definition of isotopes through nuclear composition,87,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u2,EXAMPLE,Carbon isotopes comparison and mass number notation,90,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u3,CONCEPT,Chemical and physical properties of isotopes,64,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u4,CONCEPT,Stable versus radioactive isotopes,37,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u5,EXAMPLE,Application of carbon-14 in radiocarbon dating,23,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u6,STUDY_SUPPORT,Core takeaway summary of the isotope definition,24,1
ch-1_isotope,gpt-5.6-terra,french-native,French,native,u7,CAVEAT,Distinction between isotopes and ions,23,1
ch-1_isotope,grok-4.3,french-native,French,native,u1,CONCEPT,Definition and etymology of isotopes,92,1
ch-1_isotope,grok-4.3,french-native,French,native,u2,EXAMPLE,Isotopes of carbon and their applications,76,1
ch-1_isotope,grok-4.3,french-native,French,native,u3,EXAMPLE,Isotopes of hydrogen and their uses,39,1
ch-1_isotope,grok-4.3,french-native,French,native,u4,CONCEPT,Isotope notation convention,24,1
ch-1_isotope,grok-4.3,french-native,French,native,u5,STUDY_SUPPORT,Summary recap of isotope properties,33,1
ch-1_isotope,llama-4-maverick,french-native,French,native,u1,CONCEPT,Definition of isotopes based on atomic structure and neutron variation,209,1
ch-1_isotope,llama-4-maverick,french-native,French,native,u2,EXAMPLE,"Comparison of carbon-12, carbon-13, and carbon-14 isotopes",70,1
ch-1_isotope,llama-4-maverick,french-native,French,native,u3,EXAMPLE,Application of carbon-14 in radioactive dating,32,1
ch-1_isotope,llama-4-maverick,french-native,French,native,u4,EXAMPLE,Application of radioactive isotopes in nuclear medicine,17,1
ch-1_isotope,llama-4-maverick,french-native,French,native,u5,EXAMPLE,Application of isotopic tracers in scientific research,26,1
ch-1_isotope,llama-4-maverick,french-native,French,native,u6,STUDY_SUPPORT,Summary recap of isotopes and their importance,57,1
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,u1,CONCEPT,Definition of isotopes and explanation of how neutron variation alters mass number,48,2
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,u2,ANALOGY,Analogy comparing isotopes to siblings with identical parents but different weights,44,1
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,u3,EXAMPLE,"Comparative example of hydrogen isotopes (protium, deuterium, and tritium)",30,1
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,u4,EXAMPLE,Comparative example of carbon isotopes (carbon-12 and carbon-14),12,1
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,u5,CONCEPT,Chemical and physical properties and periodic table placement of isotopes,41,1
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,u6,STUDY_SUPPORT,Etymological mnemonic for the Hindi term 'samsthanik',23,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u1,CONCEPT,Etymological meaning and basic definition of isotopes,83,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u2,ANALOGY,Twin brothers analogy for isotopes,73,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u3,CONCEPT,Subatomic structure mechanism explaining isotopes,65,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u4,EXAMPLE,Comparative example of hydrogen isotopes,67,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u5,EXAMPLE,Comparative example of carbon isotopes,38,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u6,CONCEPT,Chemical and physical properties of isotopes,49,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u7,EXAMPLE,Application of uranium-235 in nuclear power,18,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u8,EXAMPLE,Application of cobalt-60 in cancer therapy,12,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u9,EXAMPLE,Application of iodine-131 in thyroid treatment,11,1
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,u10,STUDY_SUPPORT,Quick summary recap of isotope definition and examples,22,1
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,u1,CONCEPT,Definition of isotopes and explanation of difference in mass number,64,1
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,u2,EXAMPLE,Comparative example of carbon isotopes,58,1
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,u3,CONCEPT,General chemical and physical properties of isotopes,48,1
