topic,model,condition,language,prompt_type,category,unit_count,mean_unit_words
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,ANALOGY,1,28
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,STUDY_SUPPORT,1,9
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,ALL,9,31.77777777777778
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,CONCEPT,2,33
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,EXAMPLE,4,30
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,ANALOGY,1,66
ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,english,STUDY_SUPPORT,2,17
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,ALL,7,20.428571428571427
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,CONCEPT,2,32
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,EXAMPLE,4,16.5
ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,english,STUDY_SUPPORT,1,13
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,ALL,7,19.142857142857142
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,CONCEPT,2,34.5
ch-1_isotope,grok-4.3,bengali-english,Bengali,english,EXAMPLE,5,13
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,ALL,6,22.166666666666668
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,CONCEPT,2,44
ch-1_isotope,llama-4-maverick,bengali-english,Bengali,english,EXAMPLE,4,11.25
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,ALL,7,32.57142857142857
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,CONCEPT,3,25.333333333333332
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,EXAMPLE,2,37.5
ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,native,STUDY_SUPPORT,2,38.5
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,ALL,8,42.75
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,CONCEPT,1,98
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,EXAMPLE,4,34.75
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,ANALOGY,1,56
ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,native,STUDY_SUPPORT,2,24.5
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,ALL,10,25.6
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,CONCEPT,3,38.333333333333336
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,EXAMPLE,6,20.166666666666668
ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,native,STUDY_SUPPORT,1,20
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,ALL,8,20.25
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,CONCEPT,2,34
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,EXAMPLE,5,16.2
ch-1_isotope,grok-4.3,bengali-native,Bengali,native,ANALOGY,1,13
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,ALL,5,40.2
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,CONCEPT,2,42
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,EXAMPLE,2,31.5
ch-1_isotope,llama-4-maverick,bengali-native,Bengali,native,STUDY_SUPPORT,1,54
ch-1_isotope,claude-sonnet-5,english,English,english,ALL,5,53.8
ch-1_isotope,claude-sonnet-5,english,English,english,CONCEPT,2,74
ch-1_isotope,claude-sonnet-5,english,English,english,EXAMPLE,2,39
ch-1_isotope,claude-sonnet-5,english,English,english,STUDY_SUPPORT,1,43
ch-1_isotope,gemini-3.8-flash,english,English,english,ALL,8,53.375
ch-1_isotope,gemini-3.8-flash,english,English,english,CONCEPT,2,66.5
ch-1_isotope,gemini-3.8-flash,english,English,english,EXAMPLE,4,47.75
ch-1_isotope,gemini-3.8-flash,english,English,english,ANALOGY,1,82
ch-1_isotope,gemini-3.8-flash,english,English,english,STUDY_SUPPORT,1,21
ch-1_isotope,gpt-5.6-terra,english,English,english,ALL,4,36.25
ch-1_isotope,gpt-5.6-terra,english,English,english,CONCEPT,2,35.5
ch-1_isotope,gpt-5.6-terra,english,English,english,EXAMPLE,2,37
ch-1_isotope,grok-4.3,english,English,english,ALL,5,46
ch-1_isotope,grok-4.3,english,English,english,CONCEPT,2,55.5
ch-1_isotope,grok-4.3,english,English,english,EXAMPLE,2,50.5
ch-1_isotope,grok-4.3,english,English,english,STUDY_SUPPORT,1,18
ch-1_isotope,llama-4-maverick,english,English,english,ALL,7,47.714285714285715
ch-1_isotope,llama-4-maverick,english,English,english,CONCEPT,2,80.5
ch-1_isotope,llama-4-maverick,english,English,english,EXAMPLE,4,29.25
ch-1_isotope,llama-4-maverick,english,English,english,STUDY_SUPPORT,1,56
ch-1_isotope,claude-sonnet-5,french-english,French,english,ALL,6,31.833333333333332
ch-1_isotope,claude-sonnet-5,french-english,French,english,CONCEPT,3,29.666666666666668
ch-1_isotope,claude-sonnet-5,french-english,French,english,EXAMPLE,1,39
ch-1_isotope,claude-sonnet-5,french-english,French,english,ANALOGY,1,42
ch-1_isotope,claude-sonnet-5,french-english,French,english,STUDY_SUPPORT,1,21
ch-1_isotope,gemini-3.8-flash,french-english,French,english,ALL,9,45.44444444444444
ch-1_isotope,gemini-3.8-flash,french-english,French,english,CONCEPT,3,76.33333333333333
ch-1_isotope,gemini-3.8-flash,french-english,French,english,EXAMPLE,4,31.75
ch-1_isotope,gemini-3.8-flash,french-english,French,english,ANALOGY,1,32
ch-1_isotope,gemini-3.8-flash,french-english,French,english,STUDY_SUPPORT,1,21
ch-1_isotope,gpt-5.6-terra,french-english,French,english,ALL,4,54.5
ch-1_isotope,gpt-5.6-terra,french-english,French,english,CONCEPT,2,50
ch-1_isotope,gpt-5.6-terra,french-english,French,english,EXAMPLE,2,59
ch-1_isotope,grok-4.3,french-english,French,english,ALL,7,39.142857142857146
ch-1_isotope,grok-4.3,french-english,French,english,CONCEPT,2,75
ch-1_isotope,grok-4.3,french-english,French,english,EXAMPLE,4,27.5
ch-1_isotope,grok-4.3,french-english,French,english,STUDY_SUPPORT,1,14
ch-1_isotope,llama-4-maverick,french-english,French,english,ALL,7,40.57142857142857
ch-1_isotope,llama-4-maverick,french-english,French,english,CONCEPT,2,64
ch-1_isotope,llama-4-maverick,french-english,French,english,EXAMPLE,4,27.25
ch-1_isotope,llama-4-maverick,french-english,French,english,STUDY_SUPPORT,1,47
ch-1_isotope,claude-sonnet-5,french-native,French,native,ALL,7,38
ch-1_isotope,claude-sonnet-5,french-native,French,native,CONCEPT,4,40.75
ch-1_isotope,claude-sonnet-5,french-native,French,native,EXAMPLE,2,41
ch-1_isotope,claude-sonnet-5,french-native,French,native,STUDY_SUPPORT,1,21
ch-1_isotope,gemini-3.8-flash,french-native,French,native,ALL,9,53.666666666666664
ch-1_isotope,gemini-3.8-flash,french-native,French,native,CONCEPT,2,72.5
ch-1_isotope,gemini-3.8-flash,french-native,French,native,EXAMPLE,4,42.5
ch-1_isotope,gemini-3.8-flash,french-native,French,native,ANALOGY,1,77
ch-1_isotope,gemini-3.8-flash,french-native,French,native,STUDY_SUPPORT,2,45.5
ch-1_isotope,gpt-5.6-terra,french-native,French,native,ALL,7,49.714285714285715
ch-1_isotope,gpt-5.6-terra,french-native,French,native,CONCEPT,3,62.666666666666664
ch-1_isotope,gpt-5.6-terra,french-native,French,native,EXAMPLE,2,56.5
ch-1_isotope,gpt-5.6-terra,french-native,French,native,STUDY_SUPPORT,1,24
ch-1_isotope,gpt-5.6-terra,french-native,French,native,CAVEAT,1,23
ch-1_isotope,grok-4.3,french-native,French,native,ALL,5,52.8
ch-1_isotope,grok-4.3,french-native,French,native,CONCEPT,2,58
ch-1_isotope,grok-4.3,french-native,French,native,EXAMPLE,2,57.5
ch-1_isotope,grok-4.3,french-native,French,native,STUDY_SUPPORT,1,33
ch-1_isotope,llama-4-maverick,french-native,French,native,ALL,6,68.5
ch-1_isotope,llama-4-maverick,french-native,French,native,CONCEPT,1,209
ch-1_isotope,llama-4-maverick,french-native,French,native,EXAMPLE,4,36.25
ch-1_isotope,llama-4-maverick,french-native,French,native,STUDY_SUPPORT,1,57
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,ALL,6,33
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,CONCEPT,2,44.5
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,EXAMPLE,2,21
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,ANALOGY,1,44
ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,english,STUDY_SUPPORT,1,23
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,ALL,10,43.8
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,CONCEPT,3,65.66666666666667
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,EXAMPLE,5,29.2
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,ANALOGY,1,73
ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,english,STUDY_SUPPORT,1,22
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,ALL,8,26.625
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,CONCEPT,2,56
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,EXAMPLE,5,17.6
ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,english,STUDY_SUPPORT,1,13
ch-1_isotope,grok-4.3,hindi-english,Hindi,english,ALL,5,37.6
ch-1_isotope,grok-4.3,hindi-english,Hindi,english,CONCEPT,3,40.666666666666664
ch-1_isotope,grok-4.3,hindi-english,Hindi,english,EXAMPLE,2,33
ch-1_isotope,llama-4-maverick,hindi-english,Hindi,english,ALL,7,34
ch-1_isotope,llama-4-maverick,hindi-english,Hindi,english,CONCEPT,2,42.5
ch-1_isotope,llama-4-maverick,hindi-english,Hindi,english,EXAMPLE,4,30.25
ch-1_isotope,llama-4-maverick,hindi-english,Hindi,english,STUDY_SUPPORT,1,32
ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,native,ALL,10,21.3
ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,native,CONCEPT,1,39
ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,native,EXAMPLE,6,12.166666666666666
ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,native,ANALOGY,1,32
ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,native,STUDY_SUPPORT,1,39
ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,native,CAVEAT,1,30
ch-1_isotope,gemini-3.8-flash,hindi-native,Hindi,native,ALL,10,47.3
ch-1_isotope,gemini-3.8-flash,hindi-native,Hindi,native,CONCEPT,2,96.5
ch-1_isotope,gemini-3.8-flash,hindi-native,Hindi,native,EXAMPLE,6,29.833333333333332
ch-1_isotope,gemini-3.8-flash,hindi-native,Hindi,native,ANALOGY,1,83
ch-1_isotope,gemini-3.8-flash,hindi-native,Hindi,native,STUDY_SUPPORT,1,18
ch-1_isotope,gpt-5.6-terra,hindi-native,Hindi,native,ALL,8,29.625
ch-1_isotope,gpt-5.6-terra,hindi-native,Hindi,native,CONCEPT,2,67
ch-1_isotope,gpt-5.6-terra,hindi-native,Hindi,native,EXAMPLE,5,17.8
ch-1_isotope,gpt-5.6-terra,hindi-native,Hindi,native,STUDY_SUPPORT,1,14
ch-1_isotope,grok-4.3,hindi-native,Hindi,native,ALL,7,44.57142857142857
ch-1_isotope,grok-4.3,hindi-native,Hindi,native,CONCEPT,2,72
ch-1_isotope,grok-4.3,hindi-native,Hindi,native,EXAMPLE,2,31.5
ch-1_isotope,grok-4.3,hindi-native,Hindi,native,ANALOGY,1,40
ch-1_isotope,grok-4.3,hindi-native,Hindi,native,STUDY_SUPPORT,2,32.5
ch-1_isotope,llama-4-maverick,hindi-native,Hindi,native,ALL,7,30.285714285714285
ch-1_isotope,llama-4-maverick,hindi-native,Hindi,native,CONCEPT,3,34.666666666666664
ch-1_isotope,llama-4-maverick,hindi-native,Hindi,native,EXAMPLE,4,27
ch-1_isotope,claude-sonnet-5,tamil-english,Tamil,english,ALL,8,24.625
ch-1_isotope,claude-sonnet-5,tamil-english,Tamil,english,CONCEPT,1,67
ch-1_isotope,claude-sonnet-5,tamil-english,Tamil,english,EXAMPLE,6,17.166666666666668
ch-1_isotope,claude-sonnet-5,tamil-english,Tamil,english,STUDY_SUPPORT,1,27
ch-1_isotope,gemini-3.8-flash,tamil-english,Tamil,english,ALL,11,26.09090909090909
ch-1_isotope,gemini-3.8-flash,tamil-english,Tamil,english,CONCEPT,3,37
ch-1_isotope,gemini-3.8-flash,tamil-english,Tamil,english,EXAMPLE,6,20.5
ch-1_isotope,gemini-3.8-flash,tamil-english,Tamil,english,ANALOGY,1,34
ch-1_isotope,gemini-3.8-flash,tamil-english,Tamil,english,STUDY_SUPPORT,1,19
ch-1_isotope,gpt-5.6-terra,tamil-english,Tamil,english,ALL,10,27
ch-1_isotope,gpt-5.6-terra,tamil-english,Tamil,english,CONCEPT,4,44.25
ch-1_isotope,gpt-5.6-terra,tamil-english,Tamil,english,EXAMPLE,5,14.6
ch-1_isotope,gpt-5.6-terra,tamil-english,Tamil,english,STUDY_SUPPORT,1,20
ch-1_isotope,grok-4.3,tamil-english,Tamil,english,ALL,8,20
ch-1_isotope,grok-4.3,tamil-english,Tamil,english,CONCEPT,2,30.5
ch-1_isotope,grok-4.3,tamil-english,Tamil,english,EXAMPLE,5,17.4
ch-1_isotope,grok-4.3,tamil-english,Tamil,english,STUDY_SUPPORT,1,12
ch-1_isotope,llama-4-maverick,tamil-english,Tamil,english,ALL,8,13.875
ch-1_isotope,llama-4-maverick,tamil-english,Tamil,english,CONCEPT,2,26
ch-1_isotope,llama-4-maverick,tamil-english,Tamil,english,EXAMPLE,6,9.833333333333334
ch-1_isotope,gemini-3.8-flash,tamil-native,Tamil,native,ALL,10,29.7
ch-1_isotope,gemini-3.8-flash,tamil-native,Tamil,native,CONCEPT,3,45
ch-1_isotope,gemini-3.8-flash,tamil-native,Tamil,native,EXAMPLE,5,21.6
ch-1_isotope,gemini-3.8-flash,tamil-native,Tamil,native,ANALOGY,1,41
ch-1_isotope,gemini-3.8-flash,tamil-native,Tamil,native,STUDY_SUPPORT,1,13
ch-2_stoichiometry,claude-sonnet-5,arabic-english,Arabic,english,ALL,8,41.25
ch-2_stoichiometry,claude-sonnet-5,arabic-english,Arabic,english,CONCEPT,1,29
ch-2_stoichiometry,claude-sonnet-5,arabic-english,Arabic,english,EXAMPLE,2,59.5
ch-2_stoichiometry,claude-sonnet-5,arabic-english,Arabic,english,ANALOGY,1,31
ch-2_stoichiometry,claude-sonnet-5,arabic-english,Arabic,english,PROCEDURE,2,44.5
ch-2_stoichiometry,claude-sonnet-5,arabic-english,Arabic,english,STUDY_SUPPORT,2,31
ch-2_stoichiometry,gemini-3.8-flash,arabic-english,Arabic,english,ALL,6,59.833333333333336
ch-2_stoichiometry,gemini-3.8-flash,arabic-english,Arabic,english,CONCEPT,2,59.5
ch-2_stoichiometry,gemini-3.8-flash,arabic-english,Arabic,english,EXAMPLE,1,48
ch-2_stoichiometry,gemini-3.8-flash,arabic-english,Arabic,english,ANALOGY,1,71
ch-2_stoichiometry,gemini-3.8-flash,arabic-english,Arabic,english,PROCEDURE,1,84
ch-2_stoichiometry,gemini-3.8-flash,arabic-english,Arabic,english,STUDY_SUPPORT,1,37
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,ALL,13,55.23076923076923
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,CONCEPT,7,53.57142857142857
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,EXAMPLE,2,88.5
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,ANALOGY,1,34
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,PROCEDURE,1,51
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,STUDY_SUPPORT,1,61
ch-2_stoichiometry,gpt-5.6-terra,arabic-english,Arabic,english,CAVEAT,1,20
ch-2_stoichiometry,grok-4.3,arabic-english,Arabic,english,ALL,7,54
ch-2_stoichiometry,grok-4.3,arabic-english,Arabic,english,CONCEPT,4,56.5
ch-2_stoichiometry,grok-4.3,arabic-english,Arabic,english,EXAMPLE,1,92
ch-2_stoichiometry,grok-4.3,arabic-english,Arabic,english,ANALOGY,1,25
ch-2_stoichiometry,grok-4.3,arabic-english,Arabic,english,STUDY_SUPPORT,1,35
ch-2_stoichiometry,llama-4-maverick,arabic-english,Arabic,english,ALL,5,97.8
ch-2_stoichiometry,llama-4-maverick,arabic-english,Arabic,english,CONCEPT,1,97
ch-2_stoichiometry,llama-4-maverick,arabic-english,Arabic,english,EXAMPLE,3,108.33333333333333
ch-2_stoichiometry,llama-4-maverick,arabic-english,Arabic,english,PROCEDURE,1,67
ch-2_stoichiometry,claude-sonnet-5,arabic-native,Arabic,native,ALL,5,44.8
ch-2_stoichiometry,claude-sonnet-5,arabic-native,Arabic,native,CONCEPT,2,36
ch-2_stoichiometry,claude-sonnet-5,arabic-native,Arabic,native,EXAMPLE,1,89
ch-2_stoichiometry,claude-sonnet-5,arabic-native,Arabic,native,PROCEDURE,1,39
ch-2_stoichiometry,claude-sonnet-5,arabic-native,Arabic,native,STUDY_SUPPORT,1,24
ch-2_stoichiometry,gemini-3.8-flash,arabic-native,Arabic,native,ALL,5,95.8
ch-2_stoichiometry,gemini-3.8-flash,arabic-native,Arabic,native,CONCEPT,1,109
ch-2_stoichiometry,gemini-3.8-flash,arabic-native,Arabic,native,EXAMPLE,1,153
ch-2_stoichiometry,gemini-3.8-flash,arabic-native,Arabic,native,ANALOGY,1,78
ch-2_stoichiometry,gemini-3.8-flash,arabic-native,Arabic,native,PROCEDURE,1,102
ch-2_stoichiometry,gemini-3.8-flash,arabic-native,Arabic,native,STUDY_SUPPORT,1,37
ch-2_stoichiometry,gpt-5.6-terra,arabic-native,Arabic,native,ALL,15,45.6
ch-2_stoichiometry,gpt-5.6-terra,arabic-native,Arabic,native,CONCEPT,8,48.375
ch-2_stoichiometry,gpt-5.6-terra,arabic-native,Arabic,native,EXAMPLE,3,55
ch-2_stoichiometry,gpt-5.6-terra,arabic-native,Arabic,native,ANALOGY,1,24
ch-2_stoichiometry,gpt-5.6-terra,arabic-native,Arabic,native,PROCEDURE,1,40
ch-2_stoichiometry,gpt-5.6-terra,arabic-native,Arabic,native,STUDY_SUPPORT,2,34
ch-2_stoichiometry,grok-4.3,arabic-native,Arabic,native,ALL,8,44.5
ch-2_stoichiometry,grok-4.3,arabic-native,Arabic,native,CONCEPT,4,37
ch-2_stoichiometry,grok-4.3,arabic-native,Arabic,native,EXAMPLE,2,69
ch-2_stoichiometry,grok-4.3,arabic-native,Arabic,native,PROCEDURE,1,32
ch-2_stoichiometry,grok-4.3,arabic-native,Arabic,native,STUDY_SUPPORT,1,38
ch-2_stoichiometry,llama-4-maverick,arabic-native,Arabic,native,ALL,7,43
ch-2_stoichiometry,llama-4-maverick,arabic-native,Arabic,native,CONCEPT,4,21.25
ch-2_stoichiometry,llama-4-maverick,arabic-native,Arabic,native,EXAMPLE,1,85
ch-2_stoichiometry,llama-4-maverick,arabic-native,Arabic,native,PROCEDURE,1,93
ch-2_stoichiometry,llama-4-maverick,arabic-native,Arabic,native,STUDY_SUPPORT,1,38
ch-2_stoichiometry,claude-sonnet-5,bengali-english,Bengali,english,ALL,7,46
ch-2_stoichiometry,claude-sonnet-5,bengali-english,Bengali,english,CONCEPT,4,41.75
ch-2_stoichiometry,claude-sonnet-5,bengali-english,Bengali,english,EXAMPLE,1,95
ch-2_stoichiometry,claude-sonnet-5,bengali-english,Bengali,english,PROCEDURE,1,25
ch-2_stoichiometry,claude-sonnet-5,bengali-english,Bengali,english,STUDY_SUPPORT,1,35
ch-2_stoichiometry,gemini-3.8-flash,bengali-english,Bengali,english,ALL,7,62.714285714285715
ch-2_stoichiometry,gemini-3.8-flash,bengali-english,Bengali,english,CONCEPT,3,36.666666666666664
ch-2_stoichiometry,gemini-3.8-flash,bengali-english,Bengali,english,EXAMPLE,2,99.5
ch-2_stoichiometry,gemini-3.8-flash,bengali-english,Bengali,english,ANALOGY,1,56
ch-2_stoichiometry,gemini-3.8-flash,bengali-english,Bengali,english,PROCEDURE,1,74
ch-2_stoichiometry,gpt-5.6-terra,bengali-english,Bengali,english,ALL,9,65
ch-2_stoichiometry,gpt-5.6-terra,bengali-english,Bengali,english,CONCEPT,5,52.2
ch-2_stoichiometry,gpt-5.6-terra,bengali-english,Bengali,english,EXAMPLE,2,86.5
ch-2_stoichiometry,gpt-5.6-terra,bengali-english,Bengali,english,PROCEDURE,1,57
ch-2_stoichiometry,gpt-5.6-terra,bengali-english,Bengali,english,STUDY_SUPPORT,1,94
ch-2_stoichiometry,grok-4.3,bengali-english,Bengali,english,ALL,4,61.5
ch-2_stoichiometry,grok-4.3,bengali-english,Bengali,english,CONCEPT,1,76
ch-2_stoichiometry,grok-4.3,bengali-english,Bengali,english,EXAMPLE,2,56.5
ch-2_stoichiometry,grok-4.3,bengali-english,Bengali,english,PROCEDURE,1,57
ch-2_stoichiometry,llama-4-maverick,bengali-english,Bengali,english,ALL,3,89.33333333333333
ch-2_stoichiometry,llama-4-maverick,bengali-english,Bengali,english,CONCEPT,1,25
ch-2_stoichiometry,llama-4-maverick,bengali-english,Bengali,english,EXAMPLE,2,121.5
ch-2_stoichiometry,claude-sonnet-5,bengali-native,Bengali,native,ALL,8,38
ch-2_stoichiometry,claude-sonnet-5,bengali-native,Bengali,native,CONCEPT,5,33.4
ch-2_stoichiometry,claude-sonnet-5,bengali-native,Bengali,native,EXAMPLE,1,84
ch-2_stoichiometry,claude-sonnet-5,bengali-native,Bengali,native,PROCEDURE,1,40
ch-2_stoichiometry,claude-sonnet-5,bengali-native,Bengali,native,STUDY_SUPPORT,1,13
ch-2_stoichiometry,gemini-3.8-flash,bengali-native,Bengali,native,ALL,7,56
ch-2_stoichiometry,gemini-3.8-flash,bengali-native,Bengali,native,CONCEPT,4,52.75
ch-2_stoichiometry,gemini-3.8-flash,bengali-native,Bengali,native,EXAMPLE,1,100
ch-2_stoichiometry,gemini-3.8-flash,bengali-native,Bengali,native,PROCEDURE,1,59
ch-2_stoichiometry,gemini-3.8-flash,bengali-native,Bengali,native,STUDY_SUPPORT,1,22
ch-2_stoichiometry,gpt-5.6-terra,bengali-native,Bengali,native,ALL,12,62.083333333333336
ch-2_stoichiometry,gpt-5.6-terra,bengali-native,Bengali,native,CONCEPT,7,55.57142857142857
ch-2_stoichiometry,gpt-5.6-terra,bengali-native,Bengali,native,EXAMPLE,2,107.5
ch-2_stoichiometry,gpt-5.6-terra,bengali-native,Bengali,native,PROCEDURE,1,48
ch-2_stoichiometry,gpt-5.6-terra,bengali-native,Bengali,native,STUDY_SUPPORT,2,46.5
ch-2_stoichiometry,grok-4.3,bengali-native,Bengali,native,ALL,7,39.42857142857143
ch-2_stoichiometry,grok-4.3,bengali-native,Bengali,native,CONCEPT,3,31
ch-2_stoichiometry,grok-4.3,bengali-native,Bengali,native,EXAMPLE,2,63
ch-2_stoichiometry,grok-4.3,bengali-native,Bengali,native,ANALOGY,1,40
ch-2_stoichiometry,grok-4.3,bengali-native,Bengali,native,STUDY_SUPPORT,1,17
ch-2_stoichiometry,llama-4-maverick,bengali-native,Bengali,native,ALL,6,51.833333333333336
ch-2_stoichiometry,llama-4-maverick,bengali-native,Bengali,native,CONCEPT,4,31
ch-2_stoichiometry,llama-4-maverick,bengali-native,Bengali,native,EXAMPLE,1,110
ch-2_stoichiometry,llama-4-maverick,bengali-native,Bengali,native,ANALOGY,1,77
ch-2_stoichiometry,claude-sonnet-5,english,English,english,ALL,9,51.666666666666664
ch-2_stoichiometry,claude-sonnet-5,english,English,english,CONCEPT,5,43.4
ch-2_stoichiometry,claude-sonnet-5,english,English,english,EXAMPLE,1,102
ch-2_stoichiometry,claude-sonnet-5,english,English,english,ANALOGY,1,58
ch-2_stoichiometry,claude-sonnet-5,english,English,english,PROCEDURE,1,42
ch-2_stoichiometry,claude-sonnet-5,english,English,english,STUDY_SUPPORT,1,46
ch-2_stoichiometry,gemini-3.8-flash,english,English,english,ALL,7,93.28571428571429
ch-2_stoichiometry,gemini-3.8-flash,english,English,english,CONCEPT,3,77.33333333333333
ch-2_stoichiometry,gemini-3.8-flash,english,English,english,EXAMPLE,1,166
ch-2_stoichiometry,gemini-3.8-flash,english,English,english,ANALOGY,1,113
ch-2_stoichiometry,gemini-3.8-flash,english,English,english,PROCEDURE,1,89
ch-2_stoichiometry,gemini-3.8-flash,english,English,english,STUDY_SUPPORT,1,53
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,ALL,12,65.08333333333333
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,CONCEPT,5,60.2
