comparison,language,topic,model,total,CONCEPT,EXAMPLE,ANALOGY,PROCEDURE,STUDY_SUPPORT,CAVEAT,OTHER
response_language,Hindi,stoichiometry,claude-sonnet-5,2,-2,4,0,0,0,0,0
response_language,Hindi,stoichiometry,gemini-3.8-flash,1,0,1,0,0,0,0,0
response_language,Hindi,stoichiometry,gpt-5.6-terra,-3,0,1,-1,-1,0,-2,0
response_language,Hindi,stoichiometry,grok-4.3,-7,-2,-3,-1,-1,0,0,0
response_language,Hindi,stoichiometry,llama-4-maverick,-2,-2,0,0,0,0,0,0
response_language,Hindi,mole concept,claude-sonnet-5,4,2,2,0,0,0,0,0
response_language,Hindi,mole concept,gemini-3.8-flash,-1,-1,0,0,0,0,0,0
response_language,Hindi,mole concept,gpt-5.6-terra,0,-2,-1,0,2,1,0,0
response_language,Hindi,mole concept,grok-4.3,0,0,0,0,-1,1,0,0
response_language,Hindi,mole concept,llama-4-maverick,1,2,0,0,-1,0,0,0
response_language,Hindi,redox reactions,claude-sonnet-5,-2,-1,0,-1,0,0,0,0
response_language,Hindi,redox reactions,gemini-3.8-flash,-2,1,0,-1,0,-1,-1,0
response_language,Hindi,redox reactions,gpt-5.6-terra,-4,0,-2,0,-1,0,-1,0
response_language,Hindi,redox reactions,grok-4.3,-1,1,-1,0,-1,0,0,0
response_language,Hindi,redox reactions,llama-4-maverick,-5,-2,-3,0,1,-1,0,0
response_language,Hindi,covalent radius,claude-sonnet-5,0,0,1,0,0,-1,0,0
response_language,Hindi,covalent radius,gemini-3.8-flash,0,-1,0,1,0,0,0,0
response_language,Hindi,covalent radius,gpt-5.6-terra,0,0,0,0,0,0,0,0
response_language,Hindi,covalent radius,grok-4.3,0,0,-1,0,0,0,1,0
response_language,Hindi,covalent radius,llama-4-maverick,-1,0,-1,0,0,0,0,0
response_language,Hindi,alkaline earth metals,claude-sonnet-5,10,6,5,-1,0,0,0,0
response_language,Hindi,alkaline earth metals,gemini-3.8-flash,-3,-2,-1,-1,0,1,0,0
response_language,Hindi,alkaline earth metals,gpt-5.6-terra,-5,0,-5,0,0,0,0,0
response_language,Hindi,alkaline earth metals,grok-4.3,1,2,0,0,0,-1,0,0
response_language,Hindi,alkaline earth metals,llama-4-maverick,-1,-1,1,0,0,-1,0,0
response_language,Hindi,vapour phase refining,claude-sonnet-5,0,-1,0,0,0,1,0,0
response_language,Hindi,vapour phase refining,gemini-3.8-flash,-2,0,0,0,0,-2,0,0
response_language,Hindi,vapour phase refining,gpt-5.6-terra,0,0,0,0,0,0,0,0
response_language,Hindi,vapour phase refining,grok-4.3,2,0,0,0,1,0,1,0
response_language,Hindi,vapour phase refining,llama-4-maverick,-2,-1,0,0,0,-1,0,0
response_language,Tamil,isotope,claude-sonnet-5,3,-1,4,0,0,0,0,0
response_language,Tamil,isotope,gemini-3.8-flash,3,1,2,0,0,0,0,0
response_language,Tamil,isotope,gpt-5.6-terra,6,2,3,0,0,1,0,0
response_language,Tamil,isotope,grok-4.3,3,0,3,0,0,0,0,0
response_language,Tamil,isotope,llama-4-maverick,1,0,2,0,0,-1,0,0
response_language,Tamil,stoichiometry,claude-sonnet-5,-2,-4,2,0,0,0,0,0
response_language,Tamil,stoichiometry,gemini-3.8-flash,2,0,3,0,-1,0,0,0
response_language,Tamil,stoichiometry,gpt-5.6-terra,-2,1,1,-1,-1,0,-2,0
response_language,Tamil,stoichiometry,grok-4.3,-5,-1,-2,-1,-1,0,0,0
response_language,Tamil,stoichiometry,llama-4-maverick,-4,-2,0,0,-1,-1,0,0
response_language,Tamil,mole concept,claude-sonnet-5,3,1,0,0,0,2,0,0
response_language,Tamil,mole concept,gemini-3.8-flash,-1,-1,0,0,0,0,0,0
response_language,Tamil,mole concept,gpt-5.6-terra,-8,-5,-3,0,0,-1,1,0
response_language,Tamil,mole concept,grok-4.3,-1,-1,0,0,0,0,0,0
response_language,Tamil,mole concept,llama-4-maverick,-1,0,0,0,-1,0,0,0
response_language,Tamil,redox reactions,claude-sonnet-5,-1,-1,-1,-1,0,2,0,0
response_language,Tamil,redox reactions,gemini-3.8-flash,-2,0,0,-1,0,0,-1,0
response_language,Tamil,redox reactions,gpt-5.6-terra,-2,0,1,0,-1,-1,-1,0
response_language,Tamil,redox reactions,grok-4.3,-1,1,0,0,-1,-1,0,0
response_language,Tamil,redox reactions,llama-4-maverick,-2,0,-1,0,0,-1,0,0
response_language,Tamil,covalent radius,claude-sonnet-5,1,0,0,1,0,-1,1,0
response_language,Tamil,covalent radius,gemini-3.8-flash,0,-1,0,1,0,-1,1,0
response_language,Tamil,covalent radius,gpt-5.6-terra,1,2,0,0,0,0,-1,0
response_language,Tamil,covalent radius,grok-4.3,-2,0,-1,0,0,-1,0,0
response_language,Tamil,covalent radius,llama-4-maverick,-1,0,0,0,0,-1,0,0
response_language,Tamil,alkaline earth metals,claude-sonnet-5,3,-1,4,-1,0,1,0,0
response_language,Tamil,alkaline earth metals,gemini-3.8-flash,-2,-1,-1,-1,0,1,0,0
response_language,Tamil,alkaline earth metals,gpt-5.6-terra,-5,2,-7,0,0,0,0,0
response_language,Tamil,alkaline earth metals,grok-4.3,0,1,0,0,0,-1,0,0
response_language,Tamil,alkaline earth metals,llama-4-maverick,2,3,0,0,0,-1,0,0
response_language,Tamil,vapour phase refining,claude-sonnet-5,-2,-1,0,-1,0,0,0,0
response_language,Tamil,vapour phase refining,gemini-3.8-flash,-2,0,0,-1,0,-1,0,0
response_language,Tamil,vapour phase refining,gpt-5.6-terra,0,0,0,0,0,0,0,0
response_language,Tamil,vapour phase refining,grok-4.3,1,-1,0,0,1,0,1,0
response_language,Tamil,vapour phase refining,llama-4-maverick,-1,-1,0,0,0,0,0,0
prompt_condition,Arabic,isotope,claude-sonnet-5,1,1,1,0,0,0,-1,0
prompt_condition,Arabic,isotope,gemini-3.8-flash,-4,0,-3,-1,0,0,0,0
prompt_condition,Arabic,stoichiometry,claude-sonnet-5,-3,1,-1,-1,-1,-1,0,0
prompt_condition,Arabic,stoichiometry,gemini-3.8-flash,-1,-1,0,0,0,0,0,0
prompt_condition,Arabic,stoichiometry,gpt-5.6-terra,2,1,1,0,0,1,-1,0
prompt_condition,Arabic,stoichiometry,grok-4.3,1,0,1,-1,1,0,0,0
prompt_condition,Arabic,stoichiometry,llama-4-maverick,2,3,-2,0,0,1,0,0
prompt_condition,Arabic,mole concept,claude-sonnet-5,1,0,0,0,1,0,0,0
prompt_condition,Arabic,mole concept,gemini-3.8-flash,0,1,-1,0,0,0,0,0
prompt_condition,Arabic,mole concept,gpt-5.6-terra,-7,-2,-4,1,-1,-1,0,0
prompt_condition,Arabic,mole concept,grok-4.3,-3,-1,-2,0,0,0,0,0
prompt_condition,Arabic,mole concept,llama-4-maverick,-2,-1,-1,0,0,0,0,0
prompt_condition,Arabic,redox reactions,claude-sonnet-5,2,2,2,0,-1,-1,0,0
prompt_condition,Arabic,redox reactions,gemini-3.8-flash,-1,-1,0,0,0,0,0,0
prompt_condition,Arabic,redox reactions,gpt-5.6-terra,4,1,3,0,0,0,0,0
prompt_condition,Arabic,redox reactions,grok-4.3,0,0,0,0,0,0,0,0
prompt_condition,Arabic,redox reactions,llama-4-maverick,3,1,3,0,0,-1,0,0
prompt_condition,Arabic,covalent radius,claude-sonnet-5,-1,-1,0,0,0,-1,1,0
prompt_condition,Arabic,covalent radius,gemini-3.8-flash,1,0,1,-1,0,1,0,0
prompt_condition,Arabic,covalent radius,gpt-5.6-terra,0,0,0,0,0,0,0,0
prompt_condition,Arabic,covalent radius,grok-4.3,1,0,0,0,0,0,1,0
prompt_condition,Arabic,covalent radius,llama-4-maverick,-3,-2,-1,0,0,0,0,0
prompt_condition,Arabic,alkaline earth metals,claude-sonnet-5,2,3,-1,0,0,0,0,0
prompt_condition,Arabic,alkaline earth metals,gemini-3.8-flash,0,0,-1,0,0,1,0,0
prompt_condition,Arabic,alkaline earth metals,gpt-5.6-terra,4,2,2,0,0,-1,1,0
prompt_condition,Arabic,alkaline earth metals,grok-4.3,-1,-2,0,0,0,1,0,0
prompt_condition,Arabic,alkaline earth metals,llama-4-maverick,-2,0,-2,0,0,0,0,0
prompt_condition,Arabic,vapour phase refining,gemini-3.8-flash,-1,0,0,0,0,-1,0,0
prompt_condition,Bengali,isotope,claude-sonnet-5,1,1,0,-1,0,1,0,0
prompt_condition,Bengali,isotope,gemini-3.8-flash,-1,-1,0,0,0,0,0,0
prompt_condition,Bengali,isotope,gpt-5.6-terra,3,1,2,0,0,0,0,0
prompt_condition,Bengali,isotope,grok-4.3,1,0,0,1,0,0,0,0
prompt_condition,Bengali,isotope,llama-4-maverick,-1,0,-2,0,0,1,0,0
prompt_condition,Bengali,stoichiometry,claude-sonnet-5,1,1,0,0,0,0,0,0
prompt_condition,Bengali,stoichiometry,gemini-3.8-flash,0,1,-1,-1,0,1,0,0
prompt_condition,Bengali,stoichiometry,gpt-5.6-terra,3,2,0,0,0,1,0,0
prompt_condition,Bengali,stoichiometry,grok-4.3,3,2,0,1,-1,1,0,0
prompt_condition,Bengali,stoichiometry,llama-4-maverick,3,3,-1,1,0,0,0,0
prompt_condition,Bengali,mole concept,claude-sonnet-5,-3,-1,-1,0,0,-1,0,0
prompt_condition,Bengali,mole concept,gemini-3.8-flash,-1,1,-1,0,-1,0,0,0
prompt_condition,Bengali,mole concept,gpt-5.6-terra,-7,-5,-4,0,2,0,0,0
prompt_condition,Bengali,mole concept,grok-4.3,-3,-3,-1,1,1,-1,0,0
prompt_condition,Bengali,mole concept,llama-4-maverick,0,1,-2,1,0,0,0,0
prompt_condition,Bengali,redox reactions,claude-sonnet-5,4,2,1,0,0,1,0,0
prompt_condition,Bengali,redox reactions,gemini-3.8-flash,1,-1,1,1,0,0,0,0
prompt_condition,Bengali,redox reactions,gpt-5.6-terra,-7,-1,-6,0,0,0,0,0
prompt_condition,Bengali,redox reactions,grok-4.3,0,1,-1,0,-1,1,0,0
prompt_condition,Bengali,redox reactions,llama-4-maverick,1,-1,2,0,0,0,0,0
prompt_condition,Bengali,covalent radius,claude-sonnet-5,0,1,-1,-1,0,0,1,0
prompt_condition,Bengali,covalent radius,gemini-3.8-flash,1,1,0,0,0,1,-1,0
prompt_condition,Bengali,covalent radius,gpt-5.6-terra,0,0,0,0,0,0,0,0
prompt_condition,Bengali,covalent radius,grok-4.3,2,1,1,0,0,0,0,0
prompt_condition,Bengali,covalent radius,llama-4-maverick,-4,-2,-1,0,0,0,-1,0
prompt_condition,Bengali,alkaline earth metals,claude-sonnet-5,-3,-5,2,0,0,0,0,0
prompt_condition,Bengali,alkaline earth metals,gemini-3.8-flash,-3,-2,-2,0,0,1,0,0
prompt_condition,Bengali,alkaline earth metals,gpt-5.6-terra,1,0,0,0,0,0,1,0
prompt_condition,Bengali,alkaline earth metals,grok-4.3,-4,-4,0,0,0,1,-1,0
prompt_condition,Bengali,alkaline earth metals,llama-4-maverick,5,1,4,0,0,0,0,0
prompt_condition,Bengali,vapour phase refining,claude-sonnet-5,-1,-1,0,0,0,0,0,0
prompt_condition,Bengali,vapour phase refining,gemini-3.8-flash,0,-1,0,1,-1,0,1,0
prompt_condition,Bengali,vapour phase refining,gpt-5.6-terra,2,1,0,0,0,1,0,0
prompt_condition,French,isotope,claude-sonnet-5,1,1,1,-1,0,0,0,0
prompt_condition,French,isotope,gemini-3.8-flash,0,-1,0,0,0,1,0,0
prompt_condition,French,isotope,gpt-5.6-terra,3,1,0,0,0,1,1,0
prompt_condition,French,isotope,grok-4.3,-2,0,-2,0,0,0,0,0
prompt_condition,French,isotope,llama-4-maverick,-1,-1,0,0,0,0,0,0
prompt_condition,French,stoichiometry,claude-sonnet-5,2,2,-1,1,0,1,-1,0
prompt_condition,French,stoichiometry,gemini-3.8-flash,0,0,0,0,0,-1,1,0
prompt_condition,French,stoichiometry,gpt-5.6-terra,-3,0,-2,-1,1,-1,0,0
prompt_condition,French,stoichiometry,grok-4.3,-3,1,-5,0,-1,2,0,0
prompt_condition,French,stoichiometry,llama-4-maverick,2,1,0,1,0,0,0,0
prompt_condition,French,mole concept,claude-sonnet-5,-1,0,0,-1,0,0,0,0
prompt_condition,French,mole concept,gemini-3.8-flash,0,-1,0,0,0,0,1,0
prompt_condition,French,mole concept,gpt-5.6-terra,-2,-1,0,0,0,0,-1,0
prompt_condition,French,mole concept,grok-4.3,-4,0,-5,0,0,1,0,0
prompt_condition,French,mole concept,llama-4-maverick,1,0,-1,1,0,1,0,0
prompt_condition,French,redox reactions,claude-sonnet-5,-1,2,-4,1,0,0,0,0
prompt_condition,French,redox reactions,gemini-3.8-flash,3,1,1,0,1,0,0,0
prompt_condition,French,redox reactions,gpt-5.6-terra,-4,1,-5,0,0,0,0,0
prompt_condition,French,redox reactions,grok-4.3,0,0,-2,0,0,2,0,0
prompt_condition,French,redox reactions,llama-4-maverick,4,1,3,0,0,0,0,0
prompt_condition,French,covalent radius,claude-sonnet-5,1,-1,1,0,1,-1,1,0
prompt_condition,French,covalent radius,gemini-3.8-flash,-1,-1,-1,1,0,0,0,0
prompt_condition,French,covalent radius,gpt-5.6-terra,-1,-1,-1,0,0,1,0,0
prompt_condition,French,covalent radius,grok-4.3,1,0,0,0,0,0,1,0
prompt_condition,French,covalent radius,llama-4-maverick,-1,-1,-1,0,1,0,0,0
prompt_condition,French,alkaline earth metals,claude-sonnet-5,3,0,2,1,0,0,0,0
prompt_condition,French,alkaline earth metals,gemini-3.8-flash,-1,0,-1,0,0,0,0,0
prompt_condition,French,alkaline earth metals,gpt-5.6-terra,-2,-1,-1,0,0,0,0,0
prompt_condition,French,alkaline earth metals,grok-4.3,1,0,0,0,0,1,0,0
prompt_condition,French,alkaline earth metals,llama-4-maverick,-2,-2,0,0,0,0,0,0
prompt_condition,French,vapour phase refining,claude-sonnet-5,1,1,-1,1,0,-1,1,0
prompt_condition,French,vapour phase refining,gemini-3.8-flash,0,0,0,0,0,0,0,0
prompt_condition,French,vapour phase refining,gpt-5.6-terra,-1,-1,0,0,1,0,-1,0
prompt_condition,French,vapour phase refining,grok-4.3,2,1,-1,1,0,1,0,0
prompt_condition,Hindi,isotope,claude-sonnet-5,4,-1,4,0,0,0,1,0
prompt_condition,Hindi,isotope,gemini-3.8-flash,0,-1,1,0,0,0,0,0
prompt_condition,Hindi,isotope,gpt-5.6-terra,0,0,0,0,0,0,0,0
prompt_condition,Hindi,isotope,grok-4.3,2,-1,0,1,0,2,0,0
prompt_condition,Hindi,isotope,llama-4-maverick,0,1,0,0,0,-1,0,0
prompt_condition,Hindi,stoichiometry,claude-sonnet-5,-2,-1,0,-1,0,0,0,0
prompt_condition,Hindi,stoichiometry,gemini-3.8-flash,1,-1,2,0,0,0,0,0
prompt_condition,Hindi,stoichiometry,gpt-5.6-terra,1,0,0,0,0,1,0,0
prompt_condition,Hindi,stoichiometry,grok-4.3,2,1,0,0,0,1,0,0
prompt_condition,Hindi,stoichiometry,llama-4-maverick,1,2,0,0,-1,0,0,0
prompt_condition,Hindi,mole concept,claude-sonnet-5,-3,-2,-1,0,0,0,0,0
prompt_condition,Hindi,mole concept,gemini-3.8-flash,0,1,0,0,-1,0,0,0
prompt_condition,Hindi,mole concept,gpt-5.6-terra,0,-2,2,0,1,-1,0,0
prompt_condition,Hindi,mole concept,grok-4.3,-3,-1,-1,0,0,-1,0,0
prompt_condition,Hindi,mole concept,llama-4-maverick,-2,-2,0,0,0,0,0,0
prompt_condition,Hindi,redox reactions,claude-sonnet-5,1,1,0,0,0,0,0,0
prompt_condition,Hindi,redox reactions,gemini-3.8-flash,5,1,1,2,0,1,0,0
prompt_condition,Hindi,redox reactions,gpt-5.6-terra,3,1,3,0,0,-1,0,0
prompt_condition,Hindi,redox reactions,grok-4.3,2,1,2,0,0,-1,0,0
prompt_condition,Hindi,redox reactions,llama-4-maverick,0,1,0,0,-1,0,0,0
prompt_condition,Hindi,covalent radius,claude-sonnet-5,1,0,0,1,0,0,0,0
prompt_condition,Hindi,covalent radius,gemini-3.8-flash,1,1,0,0,0,-1,1,0
prompt_condition,Hindi,covalent radius,gpt-5.6-terra,3,4,0,0,0,0,-1,0
prompt_condition,Hindi,covalent radius,grok-4.3,0,2,-1,0,0,-1,0,0
prompt_condition,Hindi,covalent radius,llama-4-maverick,0,1,-1,0,0,0,0,0
prompt_condition,Hindi,alkaline earth metals,claude-sonnet-5,-7,-5,-3,0,0,1,0,0
prompt_condition,Hindi,alkaline earth metals,gemini-3.8-flash,3,3,0,0,0,0,0,0
prompt_condition,Hindi,alkaline earth metals,gpt-5.6-terra,1,1,0,0,0,0,0,0
prompt_condition,Hindi,alkaline earth metals,grok-4.3,0,-1,0,0,0,1,0,0
prompt_condition,Hindi,alkaline earth metals,llama-4-maverick,0,0,0,0,0,0,0,0
prompt_condition,Hindi,vapour phase refining,claude-sonnet-5,0,1,0,0,0,-1,0,0
prompt_condition,Hindi,vapour phase refining,gemini-3.8-flash,3,1,0,0,1,1,0,0
prompt_condition,Hindi,vapour phase refining,gpt-5.6-terra,3,0,0,1,1,1,0,0
prompt_condition,Hindi,vapour phase refining,grok-4.3,-2,-1,0,0,-1,1,-1,0
prompt_condition,Hindi,vapour phase refining,llama-4-maverick,3,1,0,0,1,1,0,0
prompt_condition,Tamil,isotope,gemini-3.8-flash,-1,0,-1,0,0,0,0,0
prompt_condition,Tamil,stoichiometry,claude-sonnet-5,0,2,-1,-1,0,0,0,0
prompt_condition,Tamil,stoichiometry,gemini-3.8-flash,-1,-2,0,0,1,0,0,0
prompt_condition,Tamil,stoichiometry,gpt-5.6-terra,-3,-3,0,0,-1,0,1,0
prompt_condition,Tamil,stoichiometry,grok-4.3,-1,0,-1,0,0,0,0,0
prompt_condition,Tamil,stoichiometry,llama-4-maverick,2,1,1,0,0,0,0,0
prompt_condition,Tamil,mole concept,claude-sonnet-5,-1,-1,0,1,1,-2,0,0
prompt_condition,Tamil,mole concept,gemini-3.8-flash,0,0,0,0,0,0,0,0
prompt_condition,Tamil,mole concept,gpt-5.6-terra,2,3,0,0,0,0,-1,0
prompt_condition,Tamil,mole concept,grok-4.3,-2,2,-2,-1,-1,0,0,0
prompt_condition,Tamil,mole concept,llama-4-maverick,2,1,1,0,0,0,0,0
prompt_condition,Tamil,redox reactions,claude-sonnet-5,0,1,1,0,0,-2,0,0
prompt_condition,Tamil,redox reactions,gemini-3.8-flash,1,0,1,1,0,-1,0,0
