stage,tamil_id,english_id,tamil_text,english_text,tamil_primary,english_primary,tamil_secondary,english_secondary,primary_match,function_set_match,function_jaccard,format_match,content_pair
first_pass,p19,p19,- **R**eduction **I**s **G**ain (ஒடுக்கம் = பெறுதல்),- **R**eduction **I**s **G**ain (Reduction = gain),STUDY_TIP,STUDY_TIP,DEF,DEF,True,True,1.0,True,True
first_pass,p20,p20,**உதாரணம்:**,**Example:**,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p21,p21,$$Zn \rightarrow Zn^{2+} + 2e^-$$ (Zn எலக்ட்ரானை இழக்கிறது → ஆக்சிஜனேற்றம்),$$Zn \rightarrow Zn^{2+} + 2e^-$$ (Zn loses electrons → Oxidation),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
first_pass,p22,p22,$$Cu^{2+} + 2e^- \rightarrow Cu$$ (Cu எலக்ட்ரானைப் பெறுகிறது → ஒடுக்கம்),$$Cu^{2+} + 2e^- \rightarrow Cu$$ (Cu gains electrons → Reduction),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
first_pass,p23,p23,### இ) ஆக்சிஜனேற்ற எண் அடிப்படையில்,### c) Based on oxidation number,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p24,p24,- ஆக்சிஜனேற்றம் = ஆக்சிஜனேற்ற எண் **அதிகரிக்கும்**,- Oxidation = oxidation number **increases**,DEF,DEF,,,True,True,1.0,True,True
first_pass,p25,p25,- ஒடுக்கம் = ஆக்சிஜனேற்ற எண் **குறையும்**,- Reduction = oxidation number **decreases**,DEF,DEF,,,True,True,1.0,True,True
first_pass,p26,p26,## 3. முழு எடுத்துக்காட்டு,## 3. Full Example,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p27,p27,$$Zn + CuSO_4 \rightarrow ZnSO_4 + Cu$$,$$Zn + CuSO_4 \rightarrow ZnSO_4 + Cu$$,WORKED,WORKED,,,True,True,1.0,True,True
first_pass,p28,p28,| உலோகம் | மாற்றம் | ஆக்சிஜனேற்ற எண் | செயல்முறை |,| Metal | Change | Oxidation number | Process |,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p29,p29,|---|---|---|---|,|---|---|---|---|,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p30,p30,| Zn | Zn → Zn²⁺ | 0 → +2 | ஆக்சிஜனேற்றம் |,| Zn | Zn → Zn²⁺ | 0 → +2 | Oxidation |,WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
first_pass,p31,p31,| Cu | Cu²⁺ → Cu | +2 → 0 | ஒடுக்கம் |,| Cu | Cu²⁺ → Cu | +2 → 0 | Reduction |,WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
first_pass,p32,p32,## 4. முக்கிய சொற்கள்,## 4. Key Terms,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p33,p33,- **ஆக்சிஜனேற்றி (Oxidizing agent)**: மற்றொரு பொருளை ஆக்சிஜனேற்றம் செய்யும் பொருள் (தானே ஒடுக்கம் அடையும்),- **Oxidizing agent (Oxidizing agent)**: The substance that oxidizes another substance (itself undergoes reduction),DEF,DEF,,,True,True,1.0,True,True
first_pass,p34,p34,- **ஒடுக்கி (Reducing agent)**: மற்றொரு பொருளை ஒடுக்கும் பொருள் (தானே ஆக்சிஜனேற்றம் அடையும்),- **Reducing agent (Reducing agent)**: The substance that reduces another substance (itself undergoes oxidation),DEF,DEF,,,True,True,1.0,True,True
first_pass,p35,p35,மேலே உள்ள உதாரணத்தில்:,In the example above:,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p36,p36,- Zn → ஒடுக்கி (Cu-ஐ ஒடுக்குகிறது),- Zn → Reducing agent (reduces Cu),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
first_pass,p37,p37,- CuSO₄ → ஆக்சிஜனேற்றி (Zn-ஐ ஆக்சிஜனேற்றம் செய்கிறது),- CuSO₄ → Oxidizing agent (oxidizes Zn),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
first_pass,p38,p38,## 5. அன்றாட வாழ்வில் உதாரணங்கள்,## 5. Examples in Daily Life,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p39,p39,1. **இரும்பு துருப்பிடித்தல்**: $4Fe + 3O_2 \rightarrow 2Fe_2O_3$,1. **Rusting of iron**: $4Fe + 3O_2 \rightarrow 2Fe_2O_3$,REALWORLD,REALWORLD,,,True,True,1.0,True,True
first_pass,p40,p40,2. **சுவாசம்**: குளுக்கோஸ் ஆக்சிஜனேற்றம் அடைந்து ஆற்றல் தருகிறது,2. **Respiration**: Glucose undergoes oxidation and gives energy,REALWORLD,REALWORLD,,,True,True,1.0,True,True
first_pass,p41,p41,3. **மின்கலன்கள் (Batteries)**: redox வினைகள் மூலமே மின்சாரம் உற்பத்தி செய்யப்படுகிறது,3. **Batteries (Batteries)**: Electricity is produced through redox reactions only,REALWORLD,REALWORLD,,,True,True,1.0,True,True
first_pass,p42,p42,## பயிற்சி கேள்வி,## Practice Question,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p43,p43,"கீழ்கண்ட வினையில் எது ஆக்சிஜனேற்றம், எது ஒடுக்கம் எனக் கண்டறியவும்:",Identify which is oxidation and which is reduction in the following reaction:,PRACTICE,PRACTICE,,,True,True,1.0,True,True
first_pass,p44,p44,$$Fe_2O_3 + 2Al \rightarrow Al_2O_3 + 2Fe$$,$$Fe_2O_3 + 2Al \rightarrow Al_2O_3 + 2Fe$$,PRACTICE,PRACTICE,,,True,True,1.0,True,True
first_pass,p45,p45,*(உங்கள் பதிலை முயற்சி செய்யுங்கள் - நான் சரி பார்க்க உதவுவேன்!)*,*(Try your answer - I will help check it!)*,SOCIAL,SOCIAL,,,True,True,1.0,True,False
reviewed,p1,p1,# ஆக்சிஜனேற்ற - ஒடுக்க வினைகள் (Redox Reactions),# Oxidation - Reduction Reactions (Redox Reactions),STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p2,p2,வணக்கம்! இந்த முக்கியமான தலைப்பை எளிமையாகப் புரிந்துகொள்வோம்.,Hello! Let us understand this important topic simply.,SOCIAL,SOCIAL,,,True,True,1.0,True,False
reviewed,p3,p3,## 1. அடிப்படை வரையறை,## 1. Basic Definition,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p4,p4,"**ஆக்சிஜனேற்றம் (Oxidation)** மற்றும் **ஒடுக்கம் (Reduction)** எப்போதும் ஒன்றாகவே நடக்கும். ஒன்று இல்லாமல் மற்றொன்று நடக்காது - அதனால்தான் இதை **""Redox""** (Reduction + Oxidation) என்று அழைக்கிறோம்.","**Oxidation** and **Reduction** always happen together. One does not happen without the other - that is why we call this **""Redox""** (Reduction + Oxidation).",CONCEPT,DEF,DEF,,False,False,0.5,True,True
reviewed,p5,p5,## 2. மூன்று வகையான வரையறைகள்,## 2. Three Types of Definitions,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p6,p6,### அ) பழைய முறை (ஆக்சிஜன் அடிப்படையில்),### a) Old method (Based on oxygen),STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p7,p7,| | ஆக்சிஜனேற்றம் | ஒடுக்கம் |,| | Oxidation | Reduction |,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p8,p8,|---|---|---|,|---|---|---|,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p9,p9,| ஆக்சிஜன் | சேர்க்கப்படும் | நீக்கப்படும் |,| Oxygen | is added | is removed |,DEF,DEF,,,True,True,1.0,True,True
reviewed,p10,p10,| ஹைட்ரஜன் | நீக்கப்படும் | சேர்க்கப்படும் |,| Hydrogen | is removed | is added |,DEF,DEF,,,True,True,1.0,True,True
reviewed,p11,p11,**உதாரணம்:** ,**Example:** ,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p12,p12,$$2Mg + O_2 \rightarrow 2MgO$$,$$2Mg + O_2 \rightarrow 2MgO$$,WORKED,WORKED,,,True,True,1.0,True,True
reviewed,p13,p13,இங்கு Mg ஆக்சிஜனேற்றம் அடைகிறது (O சேர்கிறது),Here Mg undergoes oxidation (O is added),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p14,p14,### ஆ) எலக்ட்ரான் அடிப்படையில் (முக்கியமானது!),### b) Based on electrons (Important!),STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p15,p15,- **ஆக்சிஜனேற்றம்** = எலக்ட்ரான் **இழத்தல்** (Loss of electrons),- **Oxidation** = **Loss** of electrons (Loss of electrons),DEF,DEF,,,True,True,1.0,True,True
reviewed,p16,p16,- **ஒடுக்கம்** = எலக்ட்ரான் **பெறுதல்** (Gain of electrons),- **Reduction** = **Gain** of electrons (Gain of electrons),DEF,DEF,,,True,True,1.0,True,True
reviewed,p17,p17,"**நினைவில் வைக்க எளிய வழி - ""OIL RIG""**","**Easy way to remember - ""OIL RIG""**",STUDY_TIP,STUDY_TIP,,,True,True,1.0,True,True
reviewed,p18,p18,- **O**xidation **I**s **L**oss (ஆக்சிஜனேற்றம் = இழத்தல்),- **O**xidation **I**s **L**oss (Oxidation = loss),STUDY_TIP,STUDY_TIP,DEF,DEF,True,True,1.0,True,True
reviewed,p19,p19,- **R**eduction **I**s **G**ain (ஒடுக்கம் = பெறுதல்),- **R**eduction **I**s **G**ain (Reduction = gain),STUDY_TIP,STUDY_TIP,DEF,DEF,True,True,1.0,True,True
reviewed,p20,p20,**உதாரணம்:**,**Example:**,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p21,p21,$$Zn \rightarrow Zn^{2+} + 2e^-$$ (Zn எலக்ட்ரானை இழக்கிறது → ஆக்சிஜனேற்றம்),$$Zn \rightarrow Zn^{2+} + 2e^-$$ (Zn loses electrons → Oxidation),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p22,p22,$$Cu^{2+} + 2e^- \rightarrow Cu$$ (Cu எலக்ட்ரானைப் பெறுகிறது → ஒடுக்கம்),$$Cu^{2+} + 2e^- \rightarrow Cu$$ (Cu gains electrons → Reduction),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p23,p23,### இ) ஆக்சிஜனேற்ற எண் அடிப்படையில்,### c) Based on oxidation number,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p24,p24,- ஆக்சிஜனேற்றம் = ஆக்சிஜனேற்ற எண் **அதிகரிக்கும்**,- Oxidation = oxidation number **increases**,DEF,DEF,,,True,True,1.0,True,True
reviewed,p25,p25,- ஒடுக்கம் = ஆக்சிஜனேற்ற எண் **குறையும்**,- Reduction = oxidation number **decreases**,DEF,DEF,,,True,True,1.0,True,True
reviewed,p26,p26,## 3. முழு எடுத்துக்காட்டு,## 3. Full Example,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p27,p27,$$Zn + CuSO_4 \rightarrow ZnSO_4 + Cu$$,$$Zn + CuSO_4 \rightarrow ZnSO_4 + Cu$$,WORKED,WORKED,,,True,True,1.0,True,True
reviewed,p28,p28,| உலோகம் | மாற்றம் | ஆக்சிஜனேற்ற எண் | செயல்முறை |,| Metal | Change | Oxidation number | Process |,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p29,p29,|---|---|---|---|,|---|---|---|---|,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p30,p30,| Zn | Zn → Zn²⁺ | 0 → +2 | ஆக்சிஜனேற்றம் |,| Zn | Zn → Zn²⁺ | 0 → +2 | Oxidation |,WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p31,p31,| Cu | Cu²⁺ → Cu | +2 → 0 | ஒடுக்கம் |,| Cu | Cu²⁺ → Cu | +2 → 0 | Reduction |,WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p32,p32,## 4. முக்கிய சொற்கள்,## 4. Key Terms,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p33,p33,- **ஆக்சிஜனேற்றி (Oxidizing agent)**: மற்றொரு பொருளை ஆக்சிஜனேற்றம் செய்யும் பொருள் (தானே ஒடுக்கம் அடையும்),- **Oxidizing agent (Oxidizing agent)**: The substance that oxidizes another substance (itself undergoes reduction),DEF,DEF,,,True,True,1.0,True,True
reviewed,p34,p34,- **ஒடுக்கி (Reducing agent)**: மற்றொரு பொருளை ஒடுக்கும் பொருள் (தானே ஆக்சிஜனேற்றம் அடையும்),- **Reducing agent (Reducing agent)**: The substance that reduces another substance (itself undergoes oxidation),DEF,DEF,,,True,True,1.0,True,True
reviewed,p35,p35,மேலே உள்ள உதாரணத்தில்:,In the example above:,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p36,p36,- Zn → ஒடுக்கி (Cu-ஐ ஒடுக்குகிறது),- Zn → Reducing agent (reduces Cu),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p37,p37,- CuSO₄ → ஆக்சிஜனேற்றி (Zn-ஐ ஆக்சிஜனேற்றம் செய்கிறது),- CuSO₄ → Oxidizing agent (oxidizes Zn),WORKED,WORKED,CONCEPT,,True,False,0.5,True,True
reviewed,p38,p38,## 5. அன்றாட வாழ்வில் உதாரணங்கள்,## 5. Examples in Daily Life,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p39,p39,1. **இரும்பு துருப்பிடித்தல்**: $4Fe + 3O_2 \rightarrow 2Fe_2O_3$,1. **Rusting of iron**: $4Fe + 3O_2 \rightarrow 2Fe_2O_3$,REALWORLD,REALWORLD,,,True,True,1.0,True,True
reviewed,p40,p40,2. **சுவாசம்**: குளுக்கோஸ் ஆக்சிஜனேற்றம் அடைந்து ஆற்றல் தருகிறது,2. **Respiration**: Glucose undergoes oxidation and gives energy,REALWORLD,REALWORLD,,,True,True,1.0,True,True
reviewed,p41,p41,3. **மின்கலன்கள் (Batteries)**: redox வினைகள் மூலமே மின்சாரம் உற்பத்தி செய்யப்படுகிறது,3. **Batteries (Batteries)**: Electricity is produced through redox reactions only,REALWORLD,REALWORLD,,,True,True,1.0,True,True
reviewed,p42,p42,## பயிற்சி கேள்வி,## Practice Question,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
reviewed,p43,p43,"கீழ்கண்ட வினையில் எது ஆக்சிஜனேற்றம், எது ஒடுக்கம் எனக் கண்டறியவும்:",Identify which is oxidation and which is reduction in the following reaction:,PRACTICE,PRACTICE,,,True,True,1.0,True,True
reviewed,p44,p44,$$Fe_2O_3 + 2Al \rightarrow Al_2O_3 + 2Fe$$,$$Fe_2O_3 + 2Al \rightarrow Al_2O_3 + 2Fe$$,PRACTICE,PRACTICE,,,True,True,1.0,True,True
reviewed,p45,p45,*(உங்கள் பதிலை முயற்சி செய்யுங்கள் - நான் சரி பார்க்க உதவுவேன்!)*,*(Try your answer - I will help check it!)*,SOCIAL,SOCIAL,,,True,True,1.0,True,False
