topic_id,topic,model,condition,run_index,job_id,word_units,characters,graphemes,output_tokens
ch-6,alkaline earth metals,llama-4-maverick,B: Tamil to Tamil,2,run-002-4b2edadaaa0c4867,251,2202,1238,1546
ch-6,alkaline earth metals,gpt-5.6-terra,C: English to Tamil,3,run-003-68da8ed11cdb48ff,545,5010,2942,2072
ch-6,alkaline earth metals,grok-4.3,C: English to Tamil,3,run-003-958619d74a81f888,250,2237,1271,3592
ch-6,alkaline earth metals,gemini-3.8-flash,C: English to Tamil,3,run-003-37227cf2902a80bb,371,3363,2068,2084
ch-6,alkaline earth metals,claude-sonnet-5,C: English to Tamil,3,run-003-8627c70c5a0e0e89,208,1844,1155,1406
ch-6,alkaline earth metals,llama-4-maverick,C: English to Tamil,3,run-003-ff8937557f67dc22,334,2871,1588,1888
ch-7,vapour phase refining,gpt-5.6-terra,A: English to English,1,run-001-f1ca274cdf615f77,278,2035,1691,581
ch-7,vapour phase refining,grok-4.3,A: English to English,1,run-001-43d2dac7f3bbcf69,373,2253,1827,1168
ch-7,vapour phase refining,gemini-3.8-flash,A: English to English,1,run-001-811417147a4da0aa,651,4379,3630,2238
ch-7,vapour phase refining,claude-sonnet-5,A: English to English,1,run-001-bb8b672589214193,419,3154,2472,1228
ch-7,vapour phase refining,llama-4-maverick,A: English to English,1,run-001-361d6732c55e5094,320,2095,1750,468
ch-7,vapour phase refining,gpt-5.6-terra,B: Tamil to Tamil,2,run-002-85fbaf364377eff6,180,1633,884,695
ch-7,vapour phase refining,grok-4.3,B: Tamil to Tamil,2,run-002-d0e886eb4a77e394,279,2503,1381,2947
ch-7,vapour phase refining,gemini-3.8-flash,B: Tamil to Tamil,2,run-002-efadfa462681ba35,393,3833,2350,2425
ch-7,vapour phase refining,claude-sonnet-5,B: Tamil to Tamil,2,run-002-e2878c5341f5363a,180,1927,1108,1499
ch-7,vapour phase refining,llama-4-maverick,B: Tamil to Tamil,2,run-002-e8d0e92c05a08e8d,86,737,374,462
ch-7,vapour phase refining,gpt-5.6-terra,C: English to Tamil,3,run-003-d6bf9af472f5e517,247,2434,1407,959
ch-7,vapour phase refining,grok-4.3,C: English to Tamil,3,run-003-678a3c99362ed2c6,181,1618,898,2518
ch-7,vapour phase refining,gemini-3.8-flash,C: English to Tamil,3,run-003-f958ede55b3be8dd,369,3380,2109,2218
ch-7,vapour phase refining,claude-sonnet-5,C: English to Tamil,3,run-003-1692f2a934bc4291,262,2330,1397,2069
ch-7,vapour phase refining,llama-4-maverick,C: English to Tamil,3,run-003-ffbf4c7e39035d48,169,1593,853,1064
