source,topic,model,condition,language,old_relevance,new_relevance,old_units,new_units,old_errors,new_errors,new_ambiguities,old_reason,new_reason,old_report,new_report,delta_units
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-english\claude-sonnet-5__a2d3eb1dc829.json,ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,on_topic,on_topic,6,6,0,0,0,"The entire response directly explains isotopes, their definition, examples (hydrogen and carbon), physical and chemical properties, an explanatory analogy, and a memory rule in Bengali.","The text directly explains the concept of isotopes, including their defining nuclear characteristics, properties, examples (hydrogen and carbon), an analogy, and a memory rule.",../../../ch-1_isotope/bengali-english/evaluation/claude-sonnet-5__a2d3eb1dc829/results.md,../ch-1_isotope/bengali-english/claude-sonnet-5__a2d3eb1dc829/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-english\gemini-3.8-flash__1617ce42bc08.json,ch-1_isotope,gemini-3.8-flash,bengali-english,Bengali,on_topic,on_topic,9,9,0,0,3,"The response accurately and clearly explains the chemistry concept of isotopes in Bengali, covering definition, hydrogen isotopes, properties, and applications.","The response directly and accurately explains the concept of isotopes in Bengali, providing definitions, a mnemonic, an analogy, worked examples of hydrogen isotopes, properties, and applications.",../../../ch-1_isotope/bengali-english/evaluation/gemini-3.8-flash__1617ce42bc08/results.md,../ch-1_isotope/bengali-english/gemini-3.8-flash__1617ce42bc08/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-english\gpt-5.6-terra__bde96ecab03b.json,ch-1_isotope,gpt-5.6-terra,bengali-english,Bengali,on_topic,on_topic,7,7,0,0,1,"The response accurately and directly explains the concept of isotopes in chemistry, including definition, examples, properties, and applications.","The response clearly and comprehensively explains the concept of isotopes in chemistry, illustrating with hydrogen isotopes, describing their chemical and physical properties, and giving real-world applications.",../../../ch-1_isotope/bengali-english/evaluation/gpt-5.6-terra__bde96ecab03b/results.md,../ch-1_isotope/bengali-english/gpt-5.6-terra__bde96ecab03b/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-english\grok-4.3__27f332e26d9d.json,ch-1_isotope,grok-4.3,bengali-english,Bengali,on_topic,on_topic,5,7,0,0,2,"The entire response directly and accurately explains the concept of isotopes in Bengali, including their definition, examples (hydrogen and carbon isotopes), properties, and applications.","The text directly and comprehensively explains the concept of isotopes, provides standard chemical examples, explains why their chemical and physical properties behave the way they do, and lists practical applications.",../../../ch-1_isotope/bengali-english/evaluation/grok-4.3__27f332e26d9d/results.md,../ch-1_isotope/bengali-english/grok-4.3__27f332e26d9d/results.md,2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-english\llama-4-maverick__4b101f39322e.json,ch-1_isotope,llama-4-maverick,bengali-english,Bengali,on_topic,on_topic,3,6,0,0,2,"The response clearly and accurately explains the concept of isotopes, provides standard examples (hydrogen isotopes), and discusses their applications.","The explanation defines isotopes based on proton and neutron numbers, provides hydrogen isotopes as a concrete example, and discusses their properties and applications.",../../../ch-1_isotope/bengali-english/evaluation/llama-4-maverick__4b101f39322e/results.md,../ch-1_isotope/bengali-english/llama-4-maverick__4b101f39322e/results.md,3
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-native\claude-sonnet-5__d06138c866ec.json,ch-1_isotope,claude-sonnet-5,bengali-native,Bengali,on_topic,on_topic,7,7,0,0,0,"The response accurately and comprehensively explains the concept of isotopes for a high school student in Bengali, including atomic structure prerequisites, the core definition, hydrogen and carbon examples, general properties, and an interactive practice question.","The text directly and comprehensively explains the concept of isotopes in Bengali (সমস্থানিক), covering their definition, specific examples (hydrogen, carbon), etymological memory aid, chemical/physical properties, and a check-for-understanding question.",../../../ch-1_isotope/bengali-native/evaluation/claude-sonnet-5__d06138c866ec/results.md,../ch-1_isotope/bengali-native/claude-sonnet-5__d06138c866ec/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-native\gemini-3.8-flash__926e0654a00e.json,ch-1_isotope,gemini-3.8-flash,bengali-native,Bengali,on_topic,on_topic,8,8,0,1,2,"The response directly and thoroughly explains isotopes (সমস্থানিক) in Bengali for a high school student, covering their definition, subatomic basis, hydrogen examples, a memory aid, and practical applications.","The text directly and comprehensively explains isotopes (সমস্থানিক), including their definition, origin of name, subatomic composition, hydrogen isotopes, memory aid, applications, and a recap.",../../../ch-1_isotope/bengali-native/evaluation/gemini-3.8-flash__926e0654a00e/results.md,../ch-1_isotope/bengali-native/gemini-3.8-flash__926e0654a00e/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-native\gpt-5.6-terra__ba016c1ab43c.json,ch-1_isotope,gpt-5.6-terra,bengali-native,Bengali,on_topic,on_topic,10,10,0,0,2,"The entire response directly addresses the requested topic of isotopes in chemistry, covering their definition, atomic composition, examples (carbon and hydrogen), isotopic notation, physical and chemical properties, applications, and a memory tip.","The explanation directly teaches the definition, notation, examples (carbon and hydrogen), properties, and applications of isotopes in Bengali.",../../../ch-1_isotope/bengali-native/evaluation/gpt-5.6-terra__ba016c1ab43c/results.md,../ch-1_isotope/bengali-native/gpt-5.6-terra__ba016c1ab43c/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-native\grok-4.3__125febf29835.json,ch-1_isotope,grok-4.3,bengali-native,Bengali,on_topic,on_topic,6,8,1,1,2,"The response accurately and directly explains the concept of isotopes (সমস্থানিক) in Bengali for a high school student, covering their definition, specific examples, physical and chemical properties, real-world applications, and an illustrative analogy.","The explanation defines isotopes (same atomic number/protons, different mass number/neutrons), provides illustrative examples (hydrogen, chlorine), explains their chemical and physical properties, and lists key applications.",../../../ch-1_isotope/bengali-native/evaluation/grok-4.3__125febf29835/results.md,../ch-1_isotope/bengali-native/grok-4.3__125febf29835/results.md,2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\bengali-native\llama-4-maverick__a7e6a1daaec4.json,ch-1_isotope,llama-4-maverick,bengali-native,Bengali,on_topic,on_topic,5,5,1,1,1,"The response directly explains isotopes in Bengali, covering their definition, structural basis (protons, neutrons, and mass number), and examples such as hydrogen and carbon.","The explanation clearly defines isotopes (সমস্থানিক), explains their relationship to atomic and mass numbers, and provides illustrative examples such as hydrogen and carbon isotopes.",../../../ch-1_isotope/bengali-native/evaluation/llama-4-maverick__a7e6a1daaec4/results.md,../ch-1_isotope/bengali-native/llama-4-maverick__a7e6a1daaec4/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\english\claude-sonnet-5__5002c65cc4a9.json,ch-1_isotope,claude-sonnet-5,english,English,on_topic,on_topic,6,5,0,0,4,"The explanation directly addresses isotopes at a high school chemistry level, covering their definition, subatomic structure, concrete examples, physical and chemical properties, real-world application, and a comprehension check.","The text directly defines isotopes, explains their subatomic basis, presents carbon isotope examples and notation, discusses chemical and physical properties, and illustrates an application with carbon dating.",../../../ch-1_isotope/english/evaluation/claude-sonnet-5__5002c65cc4a9/results.md,../ch-1_isotope/english/claude-sonnet-5__5002c65cc4a9/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\english\gemini-3.8-flash__daa4bcdecdd6.json,ch-1_isotope,gemini-3.8-flash,english,English,on_topic,on_topic,8,8,0,0,1,"The entire response directly addresses the requested topic of isotopes, explaining their atomic basis, providing analogies, concrete examples (carbon isotopes), real-world applications, and an exam summary.","The text directly explains the concept of isotopes, beginning with atomic structure review (protons and neutrons), followed by the formal definition, an illustrative analogy, carbon isotope examples, and practical real-world applications.",../../../ch-1_isotope/english/evaluation/gemini-3.8-flash__daa4bcdecdd6/results.md,../ch-1_isotope/english/gemini-3.8-flash__daa4bcdecdd6/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\english\gpt-5.6-terra__151e5ec4ca87.json,ch-1_isotope,gpt-5.6-terra,english,English,on_topic,on_topic,3,4,0,0,2,"The explanation directly addresses the requested topic of isotopes, covering their definition, an illustrative example with carbon isotopes, and their classification into stable and radioactive types.","The explanation directly defines isotopes, illustrates the concept using carbon isotopes, and discusses isotopic stability and radioactive decay.",../../../ch-1_isotope/english/evaluation/gpt-5.6-terra__151e5ec4ca87/results.md,../ch-1_isotope/english/gpt-5.6-terra__151e5ec4ca87/results.md,1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\english\grok-4.3__67b792c26e6d.json,ch-1_isotope,grok-4.3,english,English,on_topic,on_topic,5,5,0,1,0,"The response directly addresses the requested topic by explaining the structure of atoms, the definition of isotopes, providing concrete examples (carbon and hydrogen), and discussing their significance and applications.","The response directly defines isotopes in terms of protons and neutrons, illustrates them with carbon and hydrogen examples, and explains their stability and uses.",../../../ch-1_isotope/english/evaluation/grok-4.3__67b792c26e6d/results.md,../ch-1_isotope/english/grok-4.3__67b792c26e6d/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\english\llama-4-maverick__cf3c2221af71.json,ch-1_isotope,llama-4-maverick,english,English,on_topic,on_topic,8,7,0,0,4,"The response comprehensively explains isotopes, covering their definition, the underlying subatomic structure, specific examples of carbon isotopes, differences in physical and chemical properties, and practical applications.","The explanation directly and accurately teaches what isotopes are, explains how they differ in neutron count while sharing atomic number, provides a worked comparison of carbon isotopes, and details their properties and practical applications.",../../../ch-1_isotope/english/evaluation/llama-4-maverick__cf3c2221af71/results.md,../ch-1_isotope/english/llama-4-maverick__cf3c2221af71/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-english\claude-sonnet-5__825261af1d2b.json,ch-1_isotope,claude-sonnet-5,french-english,French,on_topic,on_topic,6,6,0,0,0,"The response directly explains isotopes in French, including their subatomic composition, an analogy, standard notation, real-world examples (carbon), radioactive decay/dating, and a comprehension check.","The explanation directly and clearly teaches the concept of isotopes, including their definition, an illustrative analogy, an example of carbon isotopes, isotopic notation, stability/radioactivity, and a comprehension question.",../../../ch-1_isotope/french-english/evaluation/claude-sonnet-5__825261af1d2b/results.md,../ch-1_isotope/french-english/claude-sonnet-5__825261af1d2b/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-english\gemini-3.8-flash__2e59f2487cc8.json,ch-1_isotope,gemini-3.8-flash,french-english,French,on_topic,on_topic,9,9,0,0,1,"The response directly and thoroughly explains isotopes in French, including atomic structure fundamentals, definitions, an analogy, carbon isotopes as concrete illustrations, chemical and physical properties, and real-world applications.","The explanation defines isotopes in terms of atomic structure (protons and neutrons), gives the classic comparison between carbon-12 and carbon-14, explains their physical and chemical properties, and lists common real-world applications.",../../../ch-1_isotope/french-english/evaluation/gemini-3.8-flash__2e59f2487cc8/results.md,../ch-1_isotope/french-english/gemini-3.8-flash__2e59f2487cc8/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-english\gpt-5.6-terra__18b7401bcb47.json,ch-1_isotope,gpt-5.6-terra,french-english,French,on_topic,on_topic,4,4,0,0,0,"The response explains what isotopes are, illustrates them using carbon isotopes and standard nuclear notation, and discusses their chemical properties and radioactive decay.","The explanation defines isotopes based on proton and neutron counts, illustrates them using carbon isotopes and standard nuclear notation, discusses their chemical and nuclear properties, and mentions radiocarbon dating.",../../../ch-1_isotope/french-english/evaluation/gpt-5.6-terra__18b7401bcb47/results.md,../ch-1_isotope/french-english/gpt-5.6-terra__18b7401bcb47/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-english\grok-4.3__5b387b380b4c.json,ch-1_isotope,grok-4.3,french-english,French,on_topic,on_topic,8,7,0,0,2,"The explanation directly and thoroughly covers the requested topic of isotopes, including the atomic structure context, core definition, carbon examples, physical and chemical properties, real-world applications, and a summary.","The response directly teaches the concept of isotopes, defining them using subatomic particle counts, illustrating them with carbon isotopes, explaining their properties, and presenting applications.",../../../ch-1_isotope/french-english/evaluation/grok-4.3__5b387b380b4c/results.md,../ch-1_isotope/french-english/grok-4.3__5b387b380b4c/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-english\llama-4-maverick__9eb64c8cec63.json,ch-1_isotope,llama-4-maverick,french-english,French,on_topic,on_topic,7,7,0,0,3,"The text directly and comprehensively explains the concept of isotopes, including their definition, an illustrative example with carbon, their chemical and physical properties, practical applications, and a summary.","The response directly explains what isotopes are, illustrates the concept with carbon isotopes, explains their chemical and physical properties, and lists common applications.",../../../ch-1_isotope/french-english/evaluation/llama-4-maverick__9eb64c8cec63/results.md,../ch-1_isotope/french-english/llama-4-maverick__9eb64c8cec63/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-native\claude-sonnet-5__34a02b664f1b.json,ch-1_isotope,claude-sonnet-5,french-native,French,on_topic,on_topic,7,7,0,0,1,"The entire response directly addresses the requested topic of isotopes, explaining their atomic structure, notation, physical and chemical properties, and practical applications.","The explanation defines isotopes in terms of atomic structure, provides examples (carbon isotopes), explains isotopic notation, contrasts chemical and physical properties, and illustrates a real-world application (radiocarbon dating).",../../../ch-1_isotope/french-native/evaluation/claude-sonnet-5__34a02b664f1b/results.md,../ch-1_isotope/french-native/claude-sonnet-5__34a02b664f1b/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-native\gemini-3.8-flash__0080f70fcc5d.json,ch-1_isotope,gemini-3.8-flash,french-native,French,on_topic,on_topic,9,9,1,1,2,"The entire response directly explains the concept of isotopes for a high school audience, covering definition, atomic structure, examples, etymology, and practical applications.","The response clearly and thoroughly explains the concept of isotopes, including definition, examples (carbon isotopes), etymology, and real-world applications.",../../../ch-1_isotope/french-native/evaluation/gemini-3.8-flash__0080f70fcc5d/results.md,../ch-1_isotope/french-native/gemini-3.8-flash__0080f70fcc5d/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-native\gpt-5.6-terra__c5e8f9a3704d.json,ch-1_isotope,gpt-5.6-terra,french-native,French,on_topic,on_topic,7,7,0,0,3,"The explanation directly covers the requested topic of isotopes in French for a high school student, explaining their subatomic definition, examples, properties, and applications.","The explanation directly and thoroughly addresses isotopes, explaining their nuclear definition (same protons, different neutrons), illustrating them with carbon isotopes and notation, discussing chemical and physical properties, introducing radioactive isotopes with carbon-14 dating, and contrasting isotopes with ions.",../../../ch-1_isotope/french-native/evaluation/gpt-5.6-terra__c5e8f9a3704d/results.md,../ch-1_isotope/french-native/gpt-5.6-terra__c5e8f9a3704d/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-native\grok-4.3__1134b69d729f.json,ch-1_isotope,grok-4.3,french-native,French,on_topic,on_topic,5,5,0,0,1,"The response directly and thoroughly explains what isotopes are, how atomic number and neutron count determine them, illustrates with standard examples (carbon and hydrogen), shows notation, and summarizes their key properties.","The explanation directly addresses the concept of isotopes, explaining their nuclear composition (same number of protons, different number of neutrons), providing standard examples (carbon and hydrogen), explaining isotopic notation, and summarizing their main properties.",../../../ch-1_isotope/french-native/evaluation/grok-4.3__1134b69d729f/results.md,../ch-1_isotope/french-native/grok-4.3__1134b69d729f/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\french-native\llama-4-maverick__3e5e28b1017d.json,ch-1_isotope,llama-4-maverick,french-native,French,on_topic,on_topic,8,6,1,1,2,"The response directly addresses the requested topic of isotopes, explaining their subatomic definition, contrasting protons and neutrons, presenting carbon isotopes, and outlining practical applications.","The explanation directly explains the concept of isotopes, including their subatomic basis (same number of protons, different number of neutrons), provides concrete carbon isotope examples, and discusses their practical applications.",../../../ch-1_isotope/french-native/evaluation/llama-4-maverick__3e5e28b1017d/results.md,../ch-1_isotope/french-native/llama-4-maverick__3e5e28b1017d/results.md,-2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\hindi-english\claude-sonnet-5__2ec5b353d7ef.json,ch-1_isotope,claude-sonnet-5,hindi-english,Hindi,on_topic,on_topic,7,6,0,1,2,"The entire response directly addresses isotopes in Hindi, defining them, providing an everyday sibling analogy, explaining the mass number formula, detailing hydrogen and carbon isotopes as examples, explaining their chemical and physical properties, and giving a mnemonic based on the Hindi term.","The explanation directly addresses isotopes in Hindi, detailing their definition, subatomic particle composition, examples (hydrogen and carbon), properties, and an etymological mnemonic.",../../../ch-1_isotope/hindi-english/evaluation/claude-sonnet-5__2ec5b353d7ef/results.md,../ch-1_isotope/hindi-english/claude-sonnet-5__2ec5b353d7ef/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\hindi-english\gemini-3.8-flash__9cd4caaf77c0.json,ch-1_isotope,gemini-3.8-flash,hindi-english,Hindi,on_topic,on_topic,10,10,0,0,2,"The response provides a comprehensive, clear, and accurate explanation of isotopes (samsthanik) in Hindi, covering definition, atomic structure, examples, properties, and applications.","The explanation directly and accurately addresses the concept of isotopes, including their definition, proton/neutron composition, examples (hydrogen and carbon), properties, and real-world uses.",../../../ch-1_isotope/hindi-english/evaluation/gemini-3.8-flash__9cd4caaf77c0/results.md,../ch-1_isotope/hindi-english/gemini-3.8-flash__9cd4caaf77c0/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\hindi-english\gpt-5.6-terra__ac01c0cb3345.json,ch-1_isotope,gpt-5.6-terra,hindi-english,Hindi,on_topic,on_topic,8,8,0,0,2,"The entire response directly addresses the requested topic of isotopes, covering their definition, subatomic basis, examples, key properties, and practical applications.","The explanation directly defines isotopes, explains the underlying nuclear difference (same protons, different neutrons), illustrates with carbon isotopes, lists key properties and uses, and provides a mnemonic.",../../../ch-1_isotope/hindi-english/evaluation/gpt-5.6-terra__ac01c0cb3345/results.md,../ch-1_isotope/hindi-english/gpt-5.6-terra__ac01c0cb3345/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\hindi-english\grok-4.3__48bcc2949e77.json,ch-1_isotope,grok-4.3,hindi-english,Hindi,on_topic,on_topic,5,5,0,0,2,"The response directly and thoroughly explains isotopes in Hindi, covering the definition, relationships between atomic and mass numbers, examples (hydrogen and carbon), chemical and physical properties, and notation.","The text explains what isotopes are (same atomic number, different mass number/neutrons), provides standard examples (hydrogen and carbon isotopes), discusses their chemical and physical properties, and explains their notation.",../../../ch-1_isotope/hindi-english/evaluation/grok-4.3__48bcc2949e77/results.md,../ch-1_isotope/hindi-english/grok-4.3__48bcc2949e77/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\hindi-english\llama-4-maverick__15939d15aa93.json,ch-1_isotope,llama-4-maverick,hindi-english,Hindi,on_topic,on_topic,5,7,0,0,1,"The explanation directly addresses the requested topic of isotopes in Hindi, covering definition, atomic/nuclear composition, a carbon isotope example, properties, and practical applications.","The explanation directly covers the requested topic by explaining the definition of isotopes, providing carbon isotopes as an illustrative example, detailing their physical and chemical properties, and listing applications.",../../../ch-1_isotope/hindi-english/evaluation/llama-4-maverick__15939d15aa93/results.md,../ch-1_isotope/hindi-english/llama-4-maverick__15939d15aa93/results.md,2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\hindi-native\claude-sonnet-5__24f733633bcb.json,ch-1_isotope,claude-sonnet-5,hindi-native,Hindi,on_topic,on_topic,10,10,0,0,1,"The entire response directly and accurately explains isotopes in Hindi for a high school level, covering definitions, atomic structure, examples (hydrogen and carbon), etymology/mnemonic, applications, and properties.","The response comprehensively explains isotopes, including their definition, examples (hydrogen and carbon), etymological mnemonic, practical uses, and properties.",../../../ch-1_isotope/hindi-native/evaluation/claude-sonnet-5__24f733633bcb/results.md,../ch-1_isotope/hindi-native/claude-sonnet-5__24f733633bcb/results.md,0
